Filename,ROC_AUC
BRFC_alpha_0_5_0_0_0_0_Hard.csv,0.808766
BRFC_alpha_0_5_0_0_0_0_Medium.csv,0.730161
BRFC_alpha_0_5_0_0_0_0_Easy.csv,0.659705
BRFC_alpha_0_5_0_0_0_1_Hard.csv,0.803930
BRFC_alpha_0_5_0_0_0_1_Medium.csv,0.732578
BRFC_alpha_0_5_0_0_0_1_Easy.csv,0.659705
BRFC_alpha_0_5_0_0_1_0_Hard.csv,0.808270
BRFC_alpha_0_5_0_0_1_0_Medium.csv,0.729432
BRFC_alpha_0_5_0_0_1_0_Easy.csv,0.659672
BRFC_alpha_0_5_0_0_1_1_Hard.csv,0.804392
BRFC_alpha_0_5_0_0_1_1_Medium.csv,0.732326
BRFC_alpha_0_5_0_0_1_1_Easy.csv,0.659672
BRFC_alpha_0_5_0_1_0_0_Hard.csv,0.809036
BRFC_alpha_0_5_0_1_0_0_Medium.csv,0.729999
BRFC_alpha_0_5_0_1_0_0_Easy.csv,0.659825
BRFC_alpha_0_5_0_1_0_1_Hard.csv,0.804142
BRFC_alpha_0_5_0_1_0_1_Medium.csv,0.732679
BRFC_alpha_0_5_0_1_0_1_Easy.csv,0.659825
BRFC_alpha_0_5_0_1_1_0_Hard.csv,0.808396
BRFC_alpha_0_5_0_1_1_0_Medium.csv,0.729927
BRFC_alpha_0_5_0_1_1_0_Easy.csv,0.659672
BRFC_alpha_0_5_0_1_1_1_Hard.csv,0.804161
BRFC_alpha_0_5_0_1_1_1_Medium.csv,0.732072
BRFC_alpha_0_5_0_1_1_1_Easy.csv,0.659672
BRFC_alpha_0_5_1_0_0_0_Hard.csv,0.808483
BRFC_alpha_0_5_1_0_0_0_Medium.csv,0.729753
BRFC_alpha_0_5_1_0_0_0_Easy.csv,0.660083
BRFC_alpha_0_5_1_0_0_1_Hard.csv,0.804094
BRFC_alpha_0_5_1_0_0_1_Medium.csv,0.733033
BRFC_alpha_0_5_1_0_0_1_Easy.csv,0.660083
BRFC_alpha_0_5_1_0_1_0_Hard.csv,0.808541
BRFC_alpha_0_5_1_0_1_0_Medium.csv,0.729809
BRFC_alpha_0_5_1_0_1_0_Easy.csv,0.660077
BRFC_alpha_0_5_1_0_1_1_Hard.csv,0.804228
BRFC_alpha_0_5_1_0_1_1_Medium.csv,0.732628
BRFC_alpha_0_5_1_0_1_1_Easy.csv,0.660077
BRFC_alpha_0_5_1_1_0_0_Hard.csv,0.808331
BRFC_alpha_0_5_1_1_0_0_Medium.csv,0.730045
BRFC_alpha_0_5_1_1_0_0_Easy.csv,0.660076
BRFC_alpha_0_5_1_1_0_1_Hard.csv,0.804355
BRFC_alpha_0_5_1_1_0_1_Medium.csv,0.732920
BRFC_alpha_0_5_1_1_0_1_Easy.csv,0.660076
BRFC_alpha_0_5_1_1_1_0_Hard.csv,0.808282
BRFC_alpha_0_5_1_1_1_0_Medium.csv,0.729688
BRFC_alpha_0_5_1_1_1_0_Easy.csv,0.660077
BRFC_alpha_0_5_1_1_1_1_Hard.csv,0.804217
BRFC_alpha_0_5_1_1_1_1_Medium.csv,0.732465
BRFC_alpha_0_5_1_1_1_1_Easy.csv,0.660077
BRFC_alpha_0_5_0_0_0_1_0_Hard.csv,0.808616
BRFC_alpha_0_5_0_0_0_1_0_Medium.csv,0.730161
BRFC_alpha_0_5_0_0_0_1_0_Easy.csv,0.659705
BRFC_alpha_0_5_0_0_1_0_1_Hard.csv,0.808270
BRFC_alpha_0_5_0_0_1_0_1_Medium.csv,0.729432
BRFC_alpha_0_5_0_0_1_0_1_Easy.csv,0.659672
