,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0000,0.0357,"16,328",832,0.0485,"16,328","660,116",832,"125,424",0.1597,0.9934,5.2284
1,0.0357,0.0896,"16,023","1,002",0.0589,"32,351","644,093","1,834","124,422",0.1619,0.9855,5.1015
2,0.0896,0.1399,"15,185","1,000",0.0618,"47,536","628,908","2,834","123,422",0.1641,0.9776,4.9812
3,0.1399,0.1785,"12,958","1,000",0.0716,"60,494","615,950","3,834","122,422",0.1658,0.9696,4.8786
4,0.1785,0.2097,"12,642","1,000",0.0733,"73,136","603,308","4,834","121,422",0.1675,0.9617,4.7785
5,0.2097,0.2376,"11,926","1,001",0.0774,"85,062","591,382","5,835","120,421",0.1692,0.9538,4.6840
6,0.2376,0.2601,"11,663","1,002",0.0791,"96,725","579,719","6,837","119,419",0.1708,0.9458,4.5916
7,0.2601,0.2811,"11,116","1,000",0.0825,"107,841","568,603","7,837","118,419",0.1724,0.9379,4.5036
8,0.2812,0.2990,"10,864","1,000",0.0843,"118,705","557,739","8,837","117,419",0.1739,0.9300,4.4175
9,0.2990,0.3145,"10,402","1,001",0.0878,"129,107","547,337","9,838","116,418",0.1754,0.9221,4.3351
10,0.3145,0.3282,"10,270","1,000",0.0887,"139,377","537,067","10,838","115,418",0.1769,0.9142,4.2538
11,0.3282,0.3411,"9,977","1,002",0.0913,"149,354","527,090","11,840","114,416",0.1784,0.9062,4.1748
12,0.3411,0.3535,"10,412","1,001",0.0877,"159,766","516,678","12,841","113,415",0.1800,0.8983,4.0923
13,0.3535,0.3658,"9,985","1,000",0.0910,"169,751","506,693","13,841","112,415",0.1816,0.8904,4.0132
14,0.3658,0.3780,"10,549","1,009",0.0873,"180,300","496,144","14,850","111,406",0.1834,0.8824,3.9297
15,0.3780,0.3896,"9,633","1,000",0.0940,"189,933","486,511","15,850","110,406",0.1850,0.8745,3.8534
16,0.3896,0.4006,"8,998","1,000",0.1000,"198,931","477,513","16,850","109,406",0.1864,0.8665,3.7821
