Index,len,Filename,p,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,FP/P
2713,3304,BRFC_alpha_0_5_Hard_Run_0,0.7991666666666666,2,1,0.3333333333333333,663457,12987,101679,24577,0.6542700457885209,0.10286243822075783
38030,40636,BRFC_alpha_0_5_Medium_Run_0,0.8466666666666666,55,45,0.45,663802,12642,111472,14784,0.5390505359877489,0.10012989481687999
154338,164126,BRFC_alpha_0_5_Easy_Run_0,0.8557118437118438,4,0,0.0,663817,12627,117101,9155,0.42030116610044993,0.10001108858192878
4175,4980,BRFC_alpha_0_6_Hard_Run_0,0.8,1737,2033,0.5392572944297083,664247,12197,102991,23265,0.6560543680559472,0.09660530984666076
107098,111891,BRFC_alpha_0_6_Medium_Run_0,0.85,781,849,0.5208588957055215,664105,12339,112301,13955,0.5307294439796151,0.09773000887086554
165602,175592,BRFC_alpha_0_6_Easy_Run_0,0.8841760303640714,3,4,0.5714285714285714,663819,12625,117149,9107,0.41905945150009205,0.09999524775060195
4259,5116,BRFC_alpha_0_7_Hard_Run_0,0.7998414814086171,1,0,0.0,663009,13435,101448,24808,0.6486938786183092,0.10641078443796731
125775,131415,BRFC_alpha_0_7_Medium_Run_0,0.8522504390146192,0,1,1.0,663820,12624,112238,14018,0.5261616995721042,0.09998732733493854
166811,176047,BRFC_alpha_0_7_Easy_Run_0,0.912244670350736,0,2,1.0,663820,12624,117184,9072,0.41814159292035397,0.09998732733493854
4144,4987,BRFC_alpha_0_8_Hard_Run_0,0.7996117216117214,1,0,0.0,663273,13171,101759,24497,0.6503398109801423,0.104319794702826
110756,116445,BRFC_alpha_0_8_Medium_Run_0,0.8588654970760232,1,0,0.0,663807,12637,112828,13428,0.5151736044504124,0.10009029273856292
167320,175506,BRFC_alpha_0_8_Easy_Run_0,0.9408323093416916,1,1,0.5,663818,12626,117486,8770,0.4098896990091606,0.10000316816626537
4062,4939,BRFC_alpha_0_85_Hard_Run_0,0.8,1685,2060,0.5500667556742324,664292,12152,103107,23149,0.6557604600436249,0.09624889114180712
122664,129043,BRFC_alpha_0_85_Medium_Run_0,0.86,715,823,0.5351105331599479,663896,12548,113534,12722,0.5034428175702413,0.09938537574451907
168404,176021,BRFC_alpha_0_85_Easy_Run_0,0.9549309010273302,5,1,0.16666666666666666,663819,12625,117599,8657,0.4067756789775397,0.09999524775060195
4196,5087,BRFC_alpha_0_9_Hard_Run_0,0.7997826086956522,1,0,0.0,663562,12882,102219,24037,0.651073972751158,0.10203079457609936
121459,127938,BRFC_alpha_0_9_Medium_Run_0,0.8650444265353521,1,0,0.0,663818,12626,113682,12574,0.49896825396825395,0.10000316816626537
169053,175931,BRFC_alpha_0_9_Easy_Run_0,0.9692596039540312,0,3,1.0,663821,12623,117870,8386,0.3991622637917083,0.09997940691927512
4349,5243,BRFC_alpha_0_95_Hard_Run_0,0.8,1674,1988,0.5428727471327144,664615,11829,103516,22740,0.6578148051722642,0.0936905968825244
124985,131654,BRFC_alpha_0_95_Medium_Run_0,0.8697402597402598,1,0,0.0,663794,12650,113895,12361,0.49422254208148414,0.1001932581421873
169816,175905,BRFC_alpha_0_95_Easy_Run_0,0.9841703632125608,1,0,0.0,663818,12626,118229,8027,0.38866024306396163,0.10000316816626537
4389,5286,BRFC_alpha_balanced_Hard_Run_0,0.8,1751,2091,0.5442477876106194,664261,12183,103153,23103,0.6547355891855127,0.09649442402737296
128099,134396,BRFC_alpha_balanced_Medium_Run_0,0.86,752,825,0.523145212428662,664074,12370,113477,12779,0.5081315360451708,0.09797554175643138
168496,176193,BRFC_alpha_balanced_Easy_Run_0,0.9527042523256491,1,0,0.0,663818,12626,117711,8545,0.40361815691275804,0.10000316816626537
1261,1265,EEC_Hard_Run_0,0.535012650168577,4187,3236,0.4359423413714132,664979,11465,117270,8986,0.4393917167864652,0.0908075655810417
1236,1430,EEC_Medium_Run_0,0.5355542303837243,4,1,0.2,663653,12791,115828,10428,0.44911494896421034,0.10131003675072868
99,120,EEC_Easy_Run_0,0.5175372882908175,3505,1275,0.26673640167364016,663882,12562,120218,6038,0.3246236559139785,0.09949626156380686
748186,781300,KBFC_alpha_0_5_gamma_0_0_Hard_Run_0,0.5200315,1,0,0.0,663818,12626,105442,20814,0.6224282296650717,0.10000316816626537
702357,727334,KBFC_alpha_0_5_gamma_0_0_Medium_Run_0,0.44758573,1,0,0.0,663818,12626,113219,13037,0.5080076374547013,0.10000316816626537
168352,177660,KBFC_alpha_0_5_gamma_0_0_Easy_Run_0,0.35497388,1,0,0.0,663818,12626,118696,7560,0.3745169919746359,0.10000316816626537
749585,782008,KBFC_alpha_balanced_gamma_0_0_Hard_Run_0,0.8542916,1,0,0.0,663818,12626,106024,20232,0.6157404589445493,0.10000316816626537
703183,727762,KBFC_alpha_balanced_gamma_0_0_Medium_Run_0,0.8195641,0,1,1.0,663818,12626,113529,12727,0.5019918747288289,0.10000316816626537
168226,177298,KBFC_alpha_balanced_gamma_0_0_Easy_Run_0,0.7410284,2,1,0.3333333333333333,663818,12626,118786,7470,0.3717157643312102,0.10000316816626537
741724,774673,KBFC_alpha_0_5_gamma_1_0_Hard_Run_0,0.5158884,0,1,1.0,663818,12626,105524,20732,0.6215000899334493,0.10000316816626537
694014,718723,KBFC_alpha_0_5_gamma_1_0_Medium_Run_0,0.47830948,0,1,1.0,663818,12626,113458,12798,0.5033826305852738,0.10000316816626537
167309,176555,KBFC_alpha_0_5_gamma_1_0_Easy_Run_0,0.41237453,3,0,0.0,663818,12626,118664,7592,0.37550697398357896,0.10000316816626537
731127,763738,KBFC_alpha_0_5_gamma_2_0_Hard_Run_0,0.51327246,0,1,1.0,663818,12626,105752,20504,0.6188952610926652,0.10000316816626537
678624,703317,KBFC_alpha_0_5_gamma_2_0_Medium_Run_0,0.48792544,1,0,0.0,663818,12626,113400,12856,0.5045129895612589,0.10000316816626537
166132,175484,KBFC_alpha_0_5_gamma_2_0_Easy_Run_0,0.4446058,1,1,0.5,663818,12626,118868,7388,0.3691416008793844,0.10000316816626537
764865,797049,LogReg_alpha_0_5_Hard_Run_0,0.4808735828893224,1,0,0.0,663818,12626,106581,19675,0.6091142689080833,0.10000316816626537
723082,746892,LogReg_alpha_0_5_Medium_Run_0,0.4330421593880731,0,1,1.0,663818,12626,114520,11736,0.48173384779574746,0.10000316816626537
169672,178860,LogReg_alpha_0_5_Easy_Run_0,0.3419439250909909,1,0,0.0,663818,12626,119165,7091,0.3596388902977126,0.10000316816626537
765366,797140,LogReg_alpha_balanced_Hard_Run_0,0.8451693540200386,1,0,0.0,663818,12626,106979,19277,0.6042378459705984,0.10000316816626537
723434,747057,LogReg_alpha_balanced_Medium_Run_0,0.8103011068214437,0,1,1.0,663818,12626,114704,11552,0.47778972619736954,0.10000316816626537
