,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0096,0.0286,"4,357",114,0.0255,"4,357","672,087",114,"126,142",0.1580,0.9991,5.3232
1,0.0286,0.0478,"21,324","1,000",0.0448,"25,681","650,763","1,114","125,142",0.1613,0.9912,5.1543
2,0.0478,0.0573,"18,904","1,000",0.0502,"44,585","631,859","2,114","124,142",0.1642,0.9833,5.0046
3,0.0573,0.0636,"16,152","1,001",0.0584,"60,737","615,707","3,115","123,141",0.1667,0.9753,4.8767
4,0.0636,0.0679,"13,561","1,000",0.0687,"74,298","602,146","4,115","122,141",0.1686,0.9674,4.7692
5,0.0679,0.0722,"12,859","1,000",0.0722,"87,157","589,287","5,115","121,141",0.1705,0.9595,4.6674
6,0.0722,0.0765,"13,000","1,000",0.0714,"100,157","576,287","6,115","120,141",0.1725,0.9516,4.5644
7,0.0765,0.0806,"11,766","1,000",0.0783,"111,923","564,521","7,115","119,141",0.1743,0.9436,4.4712
8,0.0806,0.0846,"11,255","1,002",0.0817,"123,178","553,266","8,117","118,139",0.1760,0.9357,4.3821
9,0.0846,0.0882,"10,847","1,000",0.0844,"134,025","542,419","9,117","117,139",0.1776,0.9278,4.2962
10,0.0882,0.0910,"9,382","1,000",0.0963,"143,407","533,037","10,117","116,139",0.1789,0.9199,4.2219
11,0.0910,0.0938,"9,853","1,000",0.0921,"153,260","523,184","11,117","115,139",0.1804,0.9119,4.1438
12,0.0938,0.0963,"8,853","1,000",0.1015,"162,113","514,331","12,117","114,139",0.1816,0.9040,4.0737
13,0.0963,0.0985,"8,765","1,003",0.1027,"170,878","505,566","13,120","113,136",0.1829,0.8961,4.0043
14,0.0985,0.1010,"9,282","1,000",0.0973,"180,160","496,284","14,120","112,136",0.1843,0.8882,3.9308
15,0.1010,0.1034,"9,242","1,000",0.0976,"189,402","487,042","15,120","111,136",0.1858,0.8802,3.8576
16,0.1034,0.1054,"8,229","1,000",0.1084,"197,631","478,813","16,120","110,136",0.1870,0.8723,3.7924
17,0.1054,0.1074,"8,182","1,000",0.1089,"205,813","470,631","17,120","109,136",0.1882,0.8644,3.7276
18,0.1074,0.1093,"7,578","1,000",0.1166,"213,391","463,053","18,120","108,136",0.1893,0.8565,3.6676
19,0.1093,0.1112,"8,129","1,000",0.1095,"221,520","454,924","19,120","107,136",0.1906,0.8486,3.6032
20,0.1112,0.1127,"7,573","1,000",0.1166,"229,093","447,351","20,120","106,136",0.1918,0.8406,3.5432
21,0.1127,0.1143,"7,179","1,000",0.1223,"236,272","440,172","21,120","105,136",0.1928,0.8327,3.4863
22,0.1143,0.1161,"7,615","1,000",0.1161,"243,887","432,557","22,120","104,136",0.1940,0.8248,3.4260
23,0.1161,0.1176,"7,099","1,003",0.1238,"250,986","425,458","23,123","103,133",0.1951,0.8169,3.3698
24,0.1176,0.1192,"7,126","1,001",0.1232,"258,112","418,332","24,124","102,132",0.1962,0.8089,3.3134
25,0.1192,0.1207,"7,157","1,000",0.1226,"265,269","411,175","25,124","101,132",0.1974,0.8010,3.2567
26,0.1207,0.1221,"7,233","1,001",0.1216,"272,502","403,942","26,125","100,131",0.1986,0.7931,3.1994
27,0.1221,0.1237,"7,057","1,003",0.1244,"279,559","396,885","27,128","99,128",0.1998,0.7851,3.1435
28,0.1237,0.1255,"7,285","1,000",0.1207,"286,844","389,600","28,128","98,128",0.2012,0.7772,3.0858
29,0.1255,0.1272,"7,050","1,000",0.1242,"293,894","382,550","29,128","97,128",0.2025,0.7693,3.0300
30,0.1272,0.1289,"7,111","1,002",0.1235,"301,005","375,439","30,130","96,126",0.2038,0.7614,2.9736
31,0.1289,0.1305,"6,931","1,007",0.1269,"307,936","368,508","31,137","95,119",0.2052,0.7534,2.9187
32,0.1305,0.1323,"6,837","1,000",0.1276,"314,773","361,671","32,137","94,119",0.2065,0.7455,2.8646
33,0.1323,0.1338,"6,576","1,000",0.1320,"321,349","355,095","33,137","93,119",0.2078,0.7375,2.8125
34,0.1338,0.1355,"6,220","1,000",0.1385,"327,569","348,875","34,137","92,119",0.2089,0.7296,2.7632
35,0.1355,0.1371,"5,970","1,005",0.1441,"333,539","342,905","35,142","91,114",0.2099,0.7217,2.7160
36,0.1371,0.1385,"6,392","1,003",0.1356,"339,931","336,513","36,145","90,111",0.2112,0.7137,2.6653
37,0.1385,0.1400,"6,208","1,001",0.1389,"346,139","330,305","37,146","89,110",0.2125,0.7058,2.6162
38,0.1400,0.1414,"5,776","1,014",0.1493,"351,915","324,529","38,160","88,096",0.2135,0.6978,2.5704
