,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0052,0.0661,"16,291",136,0.0083,"16,291","660,153",136,"126,120",0.1604,0.9989,5.2287
1,0.0661,0.1072,"54,473","1,000",0.0180,"70,764","605,680","1,136","125,120",0.1712,0.9910,4.7972
2,0.1072,0.1246,"34,565","1,000",0.0281,"105,329","571,115","2,136","124,120",0.1785,0.9831,4.5235
3,0.1246,0.1362,"25,982","1,000",0.0371,"131,311","545,133","3,136","123,120",0.1842,0.9752,4.3177
4,0.1362,0.1461,"23,401","1,000",0.0410,"154,712","521,732","4,136","122,120",0.1897,0.9672,4.1323
5,0.1461,0.1545,"20,655","1,000",0.0462,"175,367","501,077","5,136","121,120",0.1947,0.9593,3.9687
6,0.1545,0.1615,"17,967","1,000",0.0527,"193,334","483,110","6,136","120,120",0.1991,0.9514,3.8264
7,0.1615,0.1679,"16,619","1,000",0.0568,"209,953","466,491","7,136","119,120",0.2034,0.9435,3.6948
8,0.1679,0.1739,"15,727","1,000",0.0598,"225,680","450,764","8,136","118,120",0.2076,0.9356,3.5702
9,0.1739,0.1794,"14,179","1,000",0.0659,"239,859","436,585","9,136","117,120",0.2115,0.9276,3.4579
10,0.1794,0.1849,"14,405","1,000",0.0649,"254,264","422,180","10,136","116,120",0.2157,0.9197,3.3438
11,0.1849,0.1900,"13,354","1,000",0.0697,"267,618","408,826","11,136","115,120",0.2197,0.9118,3.2381
12,0.1900,0.1949,"12,606","1,000",0.0735,"280,224","396,220","12,136","114,120",0.2236,0.9039,3.1382
13,0.1949,0.1993,"11,458","1,000",0.0803,"291,682","384,762","13,136","113,120",0.2272,0.8960,3.0475
14,0.1993,0.2039,"11,860","1,000",0.0778,"303,542","372,902","14,136","112,120",0.2312,0.8880,2.9535
15,0.2039,0.2079,"10,195","1,000",0.0893,"313,737","362,707","15,136","111,120",0.2345,0.8801,2.8728
16,0.2079,0.2117,"9,500","1,000",0.0952,"323,237","353,207","16,136","110,120",0.2377,0.8722,2.7975
17,0.2117,0.2157,"10,002","1,000",0.0909,"333,239","343,205","17,136","109,120",0.2412,0.8643,2.7183
18,0.2157,0.2194,"9,531","1,000",0.0950,"342,770","333,674","18,136","108,120",0.2447,0.8564,2.6428
19,0.2194,0.2233,"9,701","1,000",0.0934,"352,471","323,973","19,136","107,120",0.2485,0.8484,2.5660
20,0.2233,0.2269,"8,791","1,000",0.1021,"361,262","315,182","20,136","106,120",0.2519,0.8405,2.4964
21,0.2269,0.2305,"8,767","1,000",0.1024,"370,029","306,415","21,136","105,120",0.2554,0.8326,2.4269
22,0.2305,0.2341,"8,451","1,000",0.1058,"378,480","297,964","22,136","104,120",0.2590,0.8247,2.3600
23,0.2341,0.2375,"7,846","1,000",0.1130,"386,326","290,118","23,136","103,120",0.2622,0.8168,2.2979
24,0.2375,0.2406,"7,146","1,000",0.1228,"393,472","282,972","24,136","102,120",0.2652,0.8088,2.2413
25,0.2406,0.2439,"7,542","1,000",0.1171,"401,014","275,430","25,136","101,120",0.2685,0.8009,2.1815
26,0.2439,0.2470,"6,937","1,000",0.1260,"407,951","268,493","26,136","100,120",0.2716,0.7930,2.1266
27,0.2470,0.2499,"6,546","1,000",0.1325,"414,497","261,947","27,136","99,120",0.2745,0.7851,2.0747
28,0.2499,0.2530,"6,661","1,000",0.1305,"421,158","255,286","28,136","98,120",0.2776,0.7772,2.0220
29,0.2530,0.2559,"6,283","1,000",0.1373,"427,441","249,003","29,136","97,120",0.2806,0.7692,1.9722
30,0.2559,0.2591,"6,589","1,000",0.1318,"434,030","242,414","30,136","96,120",0.2839,0.7613,1.9200
31,0.2591,0.2619,"6,029","1,000",0.1423,"440,059","236,385","31,136","95,120",0.2869,0.7534,1.8723
32,0.2619,0.2649,"6,279","1,000",0.1374,"446,338","230,106","32,136","94,120",0.2903,0.7455,1.8225
33,0.2649,0.2680,"6,109","1,000",0.1407,"452,447","223,997","33,136","93,120",0.2936,0.7375,1.7741
34,0.2680,0.2709,"5,772","1,000",0.1477,"458,219","218,225","34,136","92,120",0.2968,0.7296,1.7284
35,0.2709,0.2738,"5,540","1,000",0.1529,"463,759","212,685","35,136","91,120",0.2999,0.7217,1.6846
36,0.2738,0.2767,"5,684","1,000",0.1496,"469,443","207,001","36,136","90,120",0.3033,0.7138,1.6395
37,0.2767,0.2795,"5,449","1,000",0.1551,"474,892","201,552","37,136","89,120",0.3066,0.7059,1.5964
38,0.2795,0.2824,"5,323","1,000",0.1582,"480,215","196,229","38,136","88,120",0.3099,0.6979,1.5542
39,0.2824,0.2851,"4,962","1,000",0.1677,"485,177","191,267","39,136","87,120",0.3129,0.6900,1.5149
40,0.2851,0.2880,"5,252","1,000",0.1599,"490,429","186,015","40,136","86,120",0.3165,0.6821,1.4733
41,0.2880,0.2909,"5,032","1,000",0.1658,"495,461","180,983","41,136","85,120",0.3199,0.6742,1.4335
42,0.2909,0.2937,"4,920","1,000",0.1689,"500,381","176,063","42,136","84,120",0.3233,0.6663,1.3945
43,0.2937,0.2965,"4,797","1,000",0.1725,"505,178","171,266","43,136","83,120",0.3267,0.6583,1.3565
44,0.2965,0.2994,"4,791","1,000",0.1727,"509,969","166,475","44,136","82,120",0.3303,0.6504,1.3186
45,0.2994,0.3022,"4,584","1,000",0.1791,"514,553","161,891","45,136","81,120",0.3338,0.6425,1.2822
46,0.3022,0.3049,"4,429","1,000",0.1842,"518,982","157,462","46,136","80,120",0.3372,0.6346,1.2472
47,0.3049,0.3076,"4,267","1,000",0.1899,"523,249","153,195","47,136","79,120",0.3406,0.6267,1.2134
48,0.3076,0.3103,"4,228","1,000",0.1913,"527,477","148,967","48,136","78,120",0.3440,0.6187,1.1799
49,0.3103,0.3131,"4,107","1,001",0.1960,"531,584","144,860","49,137","77,119",0.3474,0.6108,1.1474
50,0.3131,0.3157,"3,922","1,000",0.2032,"535,506","140,938","50,137","76,119",0.3507,0.6029,1.1163
51,0.3157,0.3184,"4,023","1,000",0.1991,"539,529","136,915","51,137","75,119",0.3543,0.5950,1.0844
52,0.3184,0.3213,"4,040","1,000",0.1984,"543,569","132,875","52,137","74,119",0.3581,0.5871,1.0524
53,0.3213,0.3239,"3,684","1,000",0.2135,"547,253","129,191","53,137","73,119",0.3614,0.5791,1.0232
54,0.3239,0.3267,"3,786","1,000",0.2089,"551,039","125,405","54,137","72,119",0.3651,0.5712,0.9933
55,0.3267,0.3294,"3,599","1,000",0.2174,"554,638","121,806","55,137","71,119",0.3686,0.5633,0.9648
56,0.3294,0.3320,"3,355","1,000",0.2296,"557,993","118,451","56,137","70,119",0.3718,0.5554,0.9382
57,0.3320,0.3349,"3,619","1,000",0.2165,"561,612","114,832","57,137","69,119",0.3757,0.5475,0.9095
58,0.3349,0.3377,"3,407","1,000",0.2269,"565,019","111,425","58,137","68,119",0.3794,0.5395,0.8825
59,0.3377,0.3405,"3,308","1,000",0.2321,"568,327","108,117","59,137","67,119",0.3830,0.5316,0.8563
60,0.3405,0.3433,"3,287","1,000",0.2333,"571,614","104,830","60,137","66,119",0.3868,0.5237,0.8303
61,0.3433,0.3460,"3,186","1,000",0.2389,"574,800","101,644","61,137","65,119",0.3905,0.5158,0.8051
62,0.3460,0.3488,"3,171","1,000",0.2398,"577,971","98,473","62,137","64,119",0.3944,0.5078,0.7799
63,0.3488,0.3517,"2,954","1,000",0.2529,"580,925","95,519","63,137","63,119",0.3979,0.4999,0.7566
64,0.3517,0.3545,"3,042","1,000",0.2474,"583,967","92,477","64,137","62,119",0.4018,0.4920,0.7325
65,0.3545,0.3573,"2,777","1,000",0.2648,"586,744","89,700","65,137","61,119",0.4052,0.4841,0.7105
66,0.3573,0.3601,"2,830","1,000",0.2611,"589,574","86,870","66,137","60,119",0.4090,0.4762,0.6880
67,0.3601,0.3629,"2,751","1,000",0.2666,"592,325","84,119","67,137","59,119",0.4127,0.4682,0.6663
68,0.3629,0.3659,"2,945","1,000",0.2535,"595,270","81,174","68,137","58,119",0.4172,0.4603,0.6429
69,0.3659,0.3689,"2,750","1,000",0.2667,"598,020","78,424","69,137","57,119",0.4214,0.4524,0.6212
70,0.3689,0.3720,"2,856","1,000",0.2593,"600,876","75,568","70,137","56,119",0.4262,0.4445,0.5985
71,0.3720,0.3748,"2,416","1,000",0.2927,"603,292","73,152","71,137","55,119",0.4297,0.4366,0.5794
72,0.3748,0.3779,"2,608","1,000",0.2772,"605,900","70,544","72,137","54,119",0.4341,0.4286,0.5587
73,0.3779,0.3812,"2,605","1,000",0.2774,"608,505","67,939","73,137","53,119",0.4388,0.4207,0.5381
74,0.3812,0.3841,"2,236","1,000",0.3090,"610,741","65,703","74,137","52,119",0.4424,0.4128,0.5204
75,0.3841,0.3872,"2,308","1,000",0.3023,"613,049","63,395","75,137","51,119",0.4464,0.4049,0.5021
76,0.3872,0.3905,"2,368","1,000",0.2969,"615,417","61,027","76,137","50,119",0.4509,0.3970,0.4834
77,0.3905,0.3936,"2,178","1,000",0.3147,"617,595","58,849","77,137","49,119",0.4549,0.3890,0.4661
78,0.3936,0.3969,"2,293","1,000",0.3037,"619,888","56,556","78,137","48,119",0.4597,0.3811,0.4479
79,0.3969,0.4002,"2,112","1,000",0.3213,"622,000","54,444","79,137","47,119",0.4639,0.3732,0.4312
80,0.4002,0.4035,"2,100","1,000",0.3226,"624,100","52,344","80,137","46,119",0.4684,0.3653,0.4146
81,0.4035,0.4071,"2,224","1,000",0.3102,"626,324","50,120","81,137","45,119",0.4737,0.3574,0.3970
82,0.4071,0.4106,"2,129","1,000",0.3196,"628,453","47,991","82,137","44,119",0.4790,0.3494,0.3801
83,0.4106,0.4142,"2,010","1,000",0.3322,"630,463","45,981","83,137","43,119",0.4839,0.3415,0.3642
84,0.4142,0.4179,"2,004","1,000",0.3329,"632,467","43,977","84,137","42,119",0.4892,0.3336,0.3483
85,0.4179,0.4217,"2,049","1,001",0.3282,"634,516","41,928","85,138","41,118",0.4951,0.3257,0.3321
86,0.4217,0.4253,"1,843","1,000",0.3517,"636,359","40,085","86,138","40,118",0.5002,0.3178,0.3175
87,0.4253,0.4291,"1,752","1,000",0.3634,"638,111","38,333","87,138","39,118",0.5051,0.3098,0.3036
88,0.4291,0.4330,"1,861","1,000",0.3495,"639,972","36,472","88,138","38,118",0.5110,0.3019,0.2889
