,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0009,0.1009,"26,669",421,0.0155,"26,669","649,775",421,"125,835",0.1622,0.9967,5.1465
1,0.1009,0.1556,"41,886","1,000",0.0233,"68,555","607,889","1,421","124,835",0.1704,0.9887,4.8147
2,0.1556,0.1857,"29,324","1,000",0.0330,"97,879","578,565","2,421","123,835",0.1763,0.9808,4.5825
3,0.1857,0.2095,"25,870","1,000",0.0372,"123,749","552,695","3,421","122,835",0.1818,0.9729,4.3776
4,0.2095,0.2284,"22,129","1,000",0.0432,"145,878","530,566","4,421","121,835",0.1867,0.9650,4.2023
5,0.2284,0.2448,"19,987","1,000",0.0476,"165,865","510,579","5,421","120,835",0.1914,0.9571,4.0440
6,0.2448,0.2583,"17,137","1,000",0.0551,"183,002","493,442","6,421","119,835",0.1954,0.9491,3.9083
7,0.2583,0.2712,"16,547","1,000",0.0570,"199,549","476,895","7,421","118,835",0.1995,0.9412,3.7772
8,0.2712,0.2828,"15,273","1,000",0.0615,"214,822","461,622","8,421","117,835",0.2034,0.9333,3.6562
9,0.2828,0.2935,"14,195","1,000",0.0658,"229,017","447,427","9,421","116,835",0.2071,0.9254,3.5438
10,0.2935,0.3035,"13,384","1,000",0.0695,"242,401","434,043","10,421","115,835",0.2107,0.9175,3.4378
11,0.3035,0.3128,"12,742","1,000",0.0728,"255,143","421,301","11,421","114,835",0.2142,0.9095,3.3369
12,0.3128,0.3219,"12,163","1,000",0.0760,"267,306","409,138","12,421","113,835",0.2177,0.9016,3.2405
13,0.3219,0.3307,"11,966","1,000",0.0771,"279,272","397,172","13,421","112,835",0.2212,0.8937,3.1458
14,0.3307,0.3387,"10,798","1,000",0.0848,"290,070","386,374","14,421","111,835",0.2245,0.8858,3.0602
15,0.3387,0.3469,"10,896","1,000",0.0841,"300,966","375,478","15,421","110,835",0.2279,0.8779,2.9739
16,0.3469,0.3544,"9,845","1,000",0.0922,"310,811","365,633","16,421","109,835",0.2310,0.8699,2.8960
17,0.3544,0.3616,"9,684","1,000",0.0936,"320,495","355,949","17,421","108,835",0.2342,0.8620,2.8193
18,0.3616,0.3685,"9,188","1,000",0.0982,"329,683","346,761","18,421","107,835",0.2372,0.8541,2.7465
19,0.3686,0.3750,"8,488","1,000",0.1054,"338,171","338,273","19,421","106,835",0.2400,0.8462,2.6793
20,0.3750,0.3814,"8,539","1,000",0.1048,"346,710","329,734","20,421","105,835",0.2430,0.8383,2.6116
21,0.3814,0.3882,"8,685","1,000",0.1033,"355,395","321,049","21,421","104,835",0.2462,0.8303,2.5428
22,0.3882,0.3946,"8,184","1,000",0.1089,"363,579","312,865","22,421","103,835",0.2492,0.8224,2.4780
23,0.3947,0.4011,"8,071","1,000",0.1102,"371,650","304,794","23,421","102,835",0.2523,0.8145,2.4141
24,0.4011,0.4071,"7,349","1,000",0.1198,"378,999","297,445","24,421","101,835",0.2550,0.8066,2.3559
25,0.4071,0.4129,"7,317","1,000",0.1202,"386,316","290,128","25,421","100,835",0.2579,0.7987,2.2979
26,0.4129,0.4188,"7,270","1,000",0.1209,"393,586","282,858","26,421","99,835",0.2609,0.7907,2.2404
27,0.4188,0.4246,"6,932","1,000",0.1261,"400,518","275,926","27,421","98,835",0.2637,0.7828,2.1854
28,0.4246,0.4303,"6,848","1,000",0.1274,"407,366","269,078","28,421","97,835",0.2666,0.7749,2.1312
29,0.4303,0.4359,"6,614","1,000",0.1313,"413,980","262,464","29,421","96,835",0.2695,0.7670,2.0788
30,0.4359,0.4417,"6,812","1,000",0.1280,"420,792","255,652","30,421","95,835",0.2727,0.7591,2.0249
31,0.4417,0.4468,"5,976","1,000",0.1433,"426,768","249,676","31,421","94,835",0.2753,0.7511,1.9775
32,0.4468,0.4525,"6,498","1,000",0.1334,"433,266","243,178","32,421","93,835",0.2784,0.7432,1.9261
33,0.4525,0.4581,"6,307","1,000",0.1369,"439,573","236,871","33,421","92,835",0.2816,0.7353,1.8761
34,0.4581,0.4634,"5,883","1,000",0.1453,"445,456","230,988","34,421","91,835",0.2845,0.7274,1.8295
35,0.4634,0.4688,"5,990","1,000",0.1431,"451,446","224,998","35,421","90,835",0.2876,0.7195,1.7821
36,0.4688,0.4741,"5,613","1,000",0.1512,"457,059","219,385","36,421","89,835",0.2905,0.7115,1.7376
37,0.4741,0.4790,"5,158","1,000",0.1624,"462,217","214,227","37,421","88,835",0.2931,0.7036,1.6968
38,0.4790,0.4839,"5,299","1,000",0.1588,"467,516","208,928","38,421","87,835",0.2960,0.6957,1.6548
39,0.4839,0.4891,"5,388","1,000",0.1565,"472,904","203,540","39,421","86,835",0.2990,0.6878,1.6121
40,0.4891,0.4943,"5,192","1,000",0.1615,"478,096","198,348","40,421","85,835",0.3020,0.6798,1.5710
41,0.4943,0.4995,"5,381","1,000",0.1567,"483,477","192,967","41,421","84,835",0.3054,0.6719,1.5284
42,0.4995,0.5046,"4,987","1,000",0.1670,"488,464","187,980","42,421","83,835",0.3084,0.6640,1.4889
43,0.5046,0.5097,"4,842","1,000",0.1712,"493,306","183,138","43,421","82,835",0.3114,0.6561,1.4505
44,0.5097,0.5148,"4,897","1,000",0.1696,"498,203","178,241","44,421","81,835",0.3147,0.6482,1.4117
45,0.5148,0.5199,"4,825","1,000",0.1717,"503,028","173,416","45,421","80,835",0.3179,0.6402,1.3735
46,0.5199,0.5248,"4,694","1,000",0.1756,"507,722","168,722","46,421","79,835",0.3212,0.6323,1.3363
47,0.5248,0.5297,"4,545","1,000",0.1803,"512,267","164,177","47,421","78,835",0.3244,0.6244,1.3004
48,0.5297,0.5344,"4,255","1,000",0.1903,"516,522","159,922","48,421","77,835",0.3274,0.6165,1.2666
49,0.5344,0.5392,"4,302","1,000",0.1886,"520,824","155,620","49,421","76,835",0.3305,0.6086,1.2326
50,0.5392,0.5441,"4,287","1,000",0.1891,"525,111","151,333","50,421","75,835",0.3338,0.6006,1.1986
51,0.5441,0.5489,"4,020","1,000",0.1992,"529,131","147,313","51,421","74,835",0.3369,0.5927,1.1668
52,0.5490,0.5538,"3,945","1,000",0.2022,"533,076","143,368","52,421","73,835",0.3399,0.5848,1.1355
53,0.5538,0.5586,"4,069","1,000",0.1973,"537,145","139,299","53,421","72,835",0.3433,0.5769,1.1033
54,0.5586,0.5634,"3,995","1,000",0.2002,"541,140","135,304","54,421","71,835",0.3468,0.5690,1.0717
55,0.5634,0.5686,"4,078","1,000",0.1969,"545,218","131,226","55,421","70,835",0.3506,0.5610,1.0394
56,0.5686,0.5735,"3,766","1,000",0.2098,"548,984","127,460","56,421","69,835",0.3540,0.5531,1.0095
57,0.5735,0.5781,"3,590","1,000",0.2179,"552,574","123,870","57,421","68,835",0.3572,0.5452,0.9811
58,0.5781,0.5831,"3,796","1,000",0.2085,"556,370","120,074","58,421","67,835",0.3610,0.5373,0.9510
59,0.5831,0.5878,"3,439","1,000",0.2253,"559,809","116,635","59,421","66,835",0.3643,0.5294,0.9238
60,0.5878,0.5924,"3,459","1,000",0.2243,"563,268","113,176","60,421","65,835",0.3678,0.5214,0.8964
61,0.5924,0.5971,"3,233","1,000",0.2362,"566,501","109,943","61,421","64,835",0.3710,0.5135,0.8708
62,0.5971,0.6019,"3,249","1,000",0.2353,"569,750","106,694","62,421","63,835",0.3743,0.5056,0.8451
63,0.6019,0.6069,"3,471","1,000",0.2237,"573,221","103,223","63,421","62,835",0.3784,0.4977,0.8176
64,0.6069,0.6117,"3,155","1,000",0.2407,"576,376","100,068","64,421","61,835",0.3819,0.4898,0.7926
65,0.6117,0.6164,"3,123","1,000",0.2425,"579,499","96,945","65,421","60,835",0.3856,0.4818,0.7678
66,0.6164,0.6211,"2,926","1,000",0.2547,"582,425","94,019","66,421","59,835",0.3889,0.4739,0.7447
67,0.6211,0.6261,"2,984","1,000",0.2510,"585,409","91,035","67,421","58,835",0.3926,0.4660,0.7210
68,0.6261,0.6310,"2,948","1,000",0.2533,"588,357","88,087","68,421","57,835",0.3963,0.4581,0.6977
69,0.6310,0.6358,"2,825","1,000",0.2614,"591,182","85,262","69,421","56,835",0.4000,0.4502,0.6753
70,0.6358,0.6406,"2,824","1,000",0.2615,"594,006","82,438","70,421","55,835",0.4038,0.4422,0.6529
71,0.6406,0.6451,"2,536","1,000",0.2828,"596,542","79,902","71,421","54,835",0.4070,0.4343,0.6329
72,0.6451,0.6502,"2,843","1,000",0.2602,"599,385","77,059","72,421","53,835",0.4113,0.4264,0.6103
73,0.6502,0.6553,"2,786","1,000",0.2641,"602,171","74,273","73,421","52,835",0.4157,0.4185,0.5883
74,0.6553,0.6602,"2,579","1,000",0.2794,"604,750","71,694","74,421","51,835",0.4196,0.4106,0.5678
75,0.6602,0.6653,"2,659","1,000",0.2733,"607,409","69,035","75,421","50,835",0.4241,0.4026,0.5468
76,0.6653,0.6703,"2,410","1,000",0.2933,"609,819","66,625","76,421","49,835",0.4279,0.3947,0.5277
77,0.6703,0.6753,"2,455","1,000",0.2894,"612,274","64,170","77,421","48,835",0.4321,0.3868,0.5083
78,0.6753,0.6803,"2,383","1,000",0.2956,"614,657","61,787","78,421","47,835",0.4364,0.3789,0.4894
79,0.6803,0.6854,"2,328","1,000",0.3005,"616,985","59,459","79,421","46,835",0.4406,0.3710,0.4709
80,0.6854,0.6902,"2,179","1,000",0.3146,"619,164","57,280","80,421","45,835",0.4445,0.3630,0.4537
81,0.6902,0.6952,"2,216","1,000",0.3109,"621,380","55,064","81,421","44,835",0.4488,0.3551,0.4361
82,0.6952,0.7005,"2,260","1,000",0.3067,"623,640","52,804","82,421","43,835",0.4536,0.3472,0.4182
83,0.7005,0.7055,"2,106","1,000",0.3220,"625,746","50,698","83,421","42,835",0.4580,0.3393,0.4015
84,0.7055,0.7111,"2,279","1,000",0.3050,"628,025","48,419","84,421","41,835",0.4635,0.3314,0.3835
85,0.7111,0.7167,"2,166","1,000",0.3159,"630,191","46,253","85,421","40,835",0.4689,0.3234,0.3663
86,0.7167,0.7219,"1,950","1,000",0.3390,"632,141","44,303","86,421","39,835",0.4734,0.3155,0.3509
87,0.7219,0.7274,"1,993","1,000",0.3341,"634,134","42,310","87,421","38,835",0.4786,0.3076,0.3351
88,0.7275,0.7329,"1,868","1,000",0.3487,"636,002","40,442","88,421","37,835",0.4833,0.2997,0.3203
89,0.7329,0.7386,"1,887","1,000",0.3464,"637,889","38,555","89,421","36,835",0.4886,0.2917,0.3054
90,0.7386,0.7443,"1,799","1,000",0.3573,"639,688","36,756","90,421","35,835",0.4937,0.2838,0.2911
91,0.7443,0.7501,"1,835","1,000",0.3527,"641,523","34,921","91,421","34,835",0.4994,0.2759,0.2766
92,0.7501,0.7558,"1,739","1,000",0.3651,"643,262","33,182","92,421","33,835",0.5049,0.2680,0.2628
93,0.7558,0.7612,"1,580","1,000",0.3876,"644,842","31,602","93,421","32,835",0.5096,0.2601,0.2503
94,0.7612,0.7671,"1,566","1,000",0.3897,"646,408","30,036","94,421","31,835",0.5145,0.2521,0.2379
95,0.7671,0.7729,"1,621","1,000",0.3815,"648,029","28,415","95,421","30,835",0.5204,0.2442,0.2251
96,0.7729,0.7792,"1,703","1,000",0.3700,"649,732","26,712","96,421","29,835",0.5276,0.2363,0.2116
97,0.7792,0.7851,"1,499","1,000",0.4002,"651,231","25,213","97,421","28,835",0.5335,0.2284,0.1997
98,0.7851,0.7912,"1,405","1,000",0.4158,"652,636","23,808","98,421","27,835",0.5390,0.2205,0.1886
99,0.7912,0.7974,"1,447","1,000",0.4087,"654,083","22,361","99,421","26,835",0.5455,0.2125,0.1771
100,0.7974,0.8034,"1,405","1,000",0.4158,"655,488","20,956","100,421","25,835",0.5521,0.2046,0.1660
101,0.8034,0.8096,"1,403","1,000",0.4161,"656,891","19,553","101,421","24,835",0.5595,0.1967,0.1549
102,0.8096,0.8163,"1,450","1,000",0.4082,"658,341","18,103","102,421","23,835",0.5683,0.1888,0.1434
103,0.8163,0.8224,"1,306","1,000",0.4337,"659,647","16,797","103,421","22,835",0.5762,0.1809,0.1330
104,0.8224,0.8289,"1,240","1,000",0.4464,"660,887","15,557","104,421","21,835",0.5839,0.1729,0.1232
105,0.8289,0.8351,"1,160","1,000",0.4630,"662,047","14,397","105,421","20,835",0.5914,0.1650,0.1140
106,0.8351,0.8416,"1,179","1,000",0.4589,"663,226","13,218","106,421","19,835",0.6001,0.1571,0.1047
107,0.8416,0.8481,"1,107","1,000",0.4746,"664,333","12,111","107,421","18,835",0.6086,0.1492,0.0959
108,0.8481,0.8547,"1,085","1,000",0.4796,"665,418","11,026","108,421","17,835",0.6180,0.1413,0.0873
109,0.8548,0.8614,"1,026","1,000",0.4936,"666,444","10,000","109,421","16,835",0.6274,0.1333,0.0792
110,0.8614,0.8681,"1,000","1,014",0.5035,"667,444","9,000","110,435","15,821",0.6374,0.1253,0.0713
111,0.8681,0.8759,"1,000","1,094",0.5224,"668,444","8,000","111,529","14,727",0.6480,0.1166,0.0634
112,0.8759,0.8843,"1,000","1,189",0.5432,"669,444","7,000","112,718","13,538",0.6592,0.1072,0.0554
113,0.8843,0.8935,"1,000","1,279",0.5612,"670,444","6,000","113,997","12,259",0.6714,0.0971,0.0475
114,0.8935,0.9036,"1,000","1,350",0.5745,"671,444","5,000","115,347","10,909",0.6857,0.0864,0.0396
115,0.9036,0.9145,"1,000","1,507",0.6011,"672,444","4,000","116,854","9,402",0.7015,0.0745,0.0317
