Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
22,61,BRFC_alpha_0_5_Hard_Run_0,0.5,0.5093333333333334,11405,1909,0.1433829052125582,490493,185951,33656,92600,0.33243463495015274,0.7334304904321379,1.4728092130274997
56,111,BRFC_alpha_0_5_Medium_Run_0,0.5933333333333333,0.5999523809523809,4025,1006,0.19996024647187438,547888,128556,61670,64586,0.334396454422135,0.5115479660372576,1.0182169560258523
100,126,BRFC_alpha_0_5_Easy_Run_0,0.7342429792429792,0.7401313408813402,2713,1000,0.26932399676811203,625751,50693,100968,25288,0.33282004711704244,0.20029147129641364,0.4015096312254467
23,63,BRFC_alpha_0_6_Hard_Run_0,0.5,0.50975,11411,1975,0.14754220827730466,489839,186605,33415,92841,0.33223234542630775,0.7353393106070206,1.4779891648713726
58,114,BRFC_alpha_0_6_Medium_Run_0,0.5935,0.5999945054945056,4028,1011,0.20063504663623735,546369,130075,61316,64940,0.3330000256390534,0.5143517931821062,1.030248067418578
100,126,BRFC_alpha_0_6_Easy_Run_0,0.7862642357642359,0.7914396764226485,2977,1000,0.25144581342720645,626104,50340,100946,25310,0.3345670852610707,0.20046572044100874,0.3987137244962616
24,64,BRFC_alpha_0_7_Hard_Run_0,0.5,0.5097596153846154,11112,1957,0.14974366822251128,496877,179567,34862,91394,0.3372957731924521,0.7238784691420606,1.4222452794322646
57,115,BRFC_alpha_0_7_Medium_Run_0,0.593434210526316,0.599998366013072,4076,1000,0.19700551615445233,546176,130268,61432,64824,0.33227400405962315,0.5134330249651502,1.031776707641617
101,126,BRFC_alpha_0_7_Easy_Run_0,0.840628126464753,0.844225017473461,2763,1000,0.26574541589157585,627885,48559,101973,24283,0.3333653661349222,0.19233145355468256,0.3846074641997212
24,64,BRFC_alpha_0_8_Hard_Run_0,0.49,0.4998974358974359,11078,1836,0.14217128697537557,490976,185468,33567,92689,0.3332254805739205,0.7341354074261818,1.4689836522620707
58,115,BRFC_alpha_0_8_Medium_Run_0,0.6,0.6046651126651125,3739,1033,0.21647108130762782,549527,126917,62670,63586,0.33377952053248505,0.5036275503738437,1.0052353947535166
103,126,BRFC_alpha_0_8_Easy_Run_0,0.8953088511076124,0.8980893467217078,2809,1001,0.2627296587926509,632117,44327,103973,22283,0.3345293499474553,0.17649062222785453,0.3510882651121531
24,65,BRFC_alpha_0_85_Hard_Run_0,0.49,0.4997142857142858,11208,1893,0.14449278681016717,488299,188145,33233,93023,0.3308449041142662,0.736780826257762,1.4901866049930301
58,114,BRFC_alpha_0_85_Medium_Run_0,0.6031757316322534,0.6091848917883401,3880,1000,0.20491803278688525,551165,125279,63315,62941,0.33440123260014876,0.4985188822709416,0.9922617538968445
104,126,BRFC_alpha_0_85_Easy_Run_0,0.9214666146656266,0.923597463135255,2828,1001,0.26142595978062155,634017,42427,104996,21260,0.3338200888721403,0.16838803700418198,0.33603947535166645
24,65,BRFC_alpha_0_9_Hard_Run_0,0.48,0.48984375,10872,1815,0.14305982501773468,485739,190705,32784,93472,0.32892176354877417,0.7403370928906349,1.51046286909137
