,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.498371,0.499497,"36,567",597,0.0161,"36,567","639,877",597,"125,659",0.1641,0.9953,5.0681
1,0.499497,0.499592,"37,329","1,000",0.0261,"73,896","602,548","1,597","124,659",0.1714,0.9874,4.7724
2,0.499592,0.499642,"28,688","1,000",0.0337,"102,584","573,860","2,597","123,659",0.1773,0.9794,4.5452
3,0.499642,0.499676,"24,409","1,000",0.0394,"126,993","549,451","3,597","122,659",0.1825,0.9715,4.3519
4,0.499676,0.499703,"21,818","1,000",0.0438,"148,811","527,633","4,597","121,659",0.1874,0.9636,4.1791
5,0.499703,0.499723,"18,724","1,000",0.0507,"167,535","508,909","5,597","120,659",0.1917,0.9557,4.0308
6,0.499723,0.499742,"18,093","1,000",0.0524,"185,628","490,816","6,597","119,659",0.1960,0.9477,3.8875
7,0.499742,0.499758,"16,032","1,000",0.0587,"201,660","474,784","7,597","118,659",0.2000,0.9398,3.7605
8,0.499758,0.499772,"14,748","1,000",0.0635,"216,408","460,036","8,597","117,659",0.2037,0.9319,3.6437
9,0.499772,0.499785,"13,633","1,000",0.0683,"230,041","446,403","9,597","116,659",0.2072,0.9240,3.5357
10,0.499785,0.499796,"13,467","1,000",0.0691,"243,508","432,936","10,597","115,659",0.2108,0.9161,3.4290
11,0.499796,0.499808,"13,021","1,000",0.0713,"256,529","419,915","11,597","114,659",0.2145,0.9081,3.3259
12,0.499808,0.499818,"12,031","1,000",0.0767,"268,560","407,884","12,597","113,659",0.2179,0.9002,3.2306
13,0.499818,0.499827,"11,003","1,000",0.0833,"279,563","396,881","13,597","112,659",0.2211,0.8923,3.1435
14,0.499827,0.499836,"10,967","1,000",0.0836,"290,530","385,914","14,597","111,659",0.2244,0.8844,3.0566
15,0.499836,0.499845,"9,989","1,000",0.0910,"300,519","375,925","15,597","110,659",0.2274,0.8765,2.9775
16,0.499845,0.499853,"10,447","1,000",0.0874,"310,966","365,478","16,597","109,659",0.2308,0.8685,2.8947
17,0.499853,0.499861,"9,871","1,000",0.0920,"320,837","355,607","17,597","108,659",0.2340,0.8606,2.8166
18,0.499861,0.499868,"8,947","1,000",0.1005,"329,784","346,660","18,597","107,659",0.2370,0.8527,2.7457
19,0.499868,0.499875,"8,919","1,000",0.1008,"338,703","337,741","19,597","106,659",0.2400,0.8448,2.6750
20,0.499875,0.499882,"8,337","1,000",0.1071,"347,040","329,404","20,597","105,659",0.2429,0.8369,2.6090
21,0.499882,0.499889,"7,876","1,000",0.1127,"354,916","321,528","21,597","104,659",0.2456,0.8289,2.5466
22,0.499889,0.499895,"8,221","1,000",0.1084,"363,137","313,307","22,597","103,659",0.2486,0.8210,2.4815
23,0.499895,0.499901,"7,515","1,000",0.1174,"370,652","305,792","23,597","102,659",0.2513,0.8131,2.4220
24,0.499901,0.499908,"7,784","1,000",0.1138,"378,436","298,008","24,597","101,659",0.2544,0.8052,2.3603
25,0.499908,0.499914,"6,963","1,000",0.1256,"385,399","291,045","25,597","100,659",0.2570,0.7973,2.3052
26,0.499914,0.499920,"7,585","1,000",0.1165,"392,984","283,460","26,597","99,659",0.2601,0.7893,2.2451
27,0.499920,0.499926,"6,988","1,000",0.1252,"399,972","276,472","27,597","98,659",0.2630,0.7814,2.1898
28,0.499926,0.499932,"6,938","1,000",0.1260,"406,910","269,534","28,597","97,659",0.2660,0.7735,2.1348
29,0.499932,0.499937,"6,769","1,000",0.1287,"413,679","262,765","29,597","96,659",0.2689,0.7656,2.0812
30,0.499937,0.499943,"6,496","1,000",0.1334,"420,175","256,269","30,597","95,659",0.2718,0.7577,2.0298
31,0.499943,0.499948,"6,209","1,000",0.1387,"426,384","250,060","31,597","94,659",0.2746,0.7497,1.9806
32,0.499948,0.499953,"5,986","1,000",0.1431,"432,370","244,074","32,597","93,659",0.2773,0.7418,1.9332
33,0.499953,0.499959,"6,251","1,000",0.1379,"438,621","237,823","33,597","92,659",0.2804,0.7339,1.8837
34,0.499959,0.499964,"5,833","1,000",0.1463,"444,454","231,990","34,597","91,659",0.2832,0.7260,1.8375
35,0.499964,0.499969,"5,692","1,000",0.1494,"450,146","226,298","35,597","90,659",0.2860,0.7181,1.7924
36,0.499969,0.499975,"5,934","1,000",0.1442,"456,080","220,364","36,597","89,659",0.2892,0.7101,1.7454
37,0.499975,0.499980,"5,607","1,000",0.1514,"461,687","214,757","37,597","88,659",0.2922,0.7022,1.7010
38,0.499980,0.499985,"5,399","1,000",0.1563,"467,086","209,358","38,597","87,659",0.2951,0.6943,1.6582
39,0.499985,0.499990,"5,334","1,000",0.1579,"472,420","204,024","39,597","86,659",0.2981,0.6864,1.6160
40,0.499990,0.499995,"5,379","1,000",0.1568,"477,799","198,645","40,597","85,659",0.3013,0.6785,1.5734
41,0.499995,0.500000,"5,323","1,000",0.1582,"483,122","193,322","41,597","84,659",0.3045,0.6705,1.5312
42,0.500000,0.500005,"5,042","1,000",0.1655,"488,164","188,280","42,597","83,659",0.3076,0.6626,1.4913
43,0.500005,0.500010,"4,948","1,000",0.1681,"493,112","183,332","43,597","82,659",0.3108,0.6547,1.4521
44,0.500010,0.500015,"5,080","1,000",0.1645,"498,192","178,252","44,597","81,659",0.3142,0.6468,1.4118
45,0.500015,0.500020,"4,587","1,000",0.1790,"502,779","173,665","45,597","80,659",0.3172,0.6389,1.3755
46,0.500020,0.500025,"4,470","1,000",0.1828,"507,249","169,195","46,597","79,659",0.3201,0.6309,1.3401
47,0.500025,0.500030,"4,492","1,000",0.1821,"511,741","164,703","47,597","78,659",0.3232,0.6230,1.3045
48,0.500030,0.500034,"4,095","1,000",0.1963,"515,836","160,608","48,597","77,659",0.3259,0.6151,1.2721
49,0.500034,0.500039,"4,460","1,000",0.1832,"520,296","156,148","49,597","76,659",0.3293,0.6072,1.2368
50,0.500039,0.500044,"4,226","1,000",0.1914,"524,522","151,922","50,597","75,659",0.3324,0.5993,1.2033
51,0.500044,0.500049,"4,193","1,000",0.1926,"528,715","147,729","51,597","74,659",0.3357,0.5913,1.1701
52,0.500049,0.500053,"4,193","1,000",0.1926,"532,908","143,536","52,597","73,659",0.3391,0.5834,1.1369
53,0.500053,0.500058,"3,831","1,000",0.2070,"536,739","139,705","53,597","72,659",0.3421,0.5755,1.1065
54,0.500058,0.500062,"3,594","1,000",0.2177,"540,333","136,111","54,597","71,659",0.3449,0.5676,1.0781
55,0.500062,0.500067,"4,147","1,000",0.1943,"544,480","131,964","55,597","70,659",0.3487,0.5596,1.0452
56,0.500067,0.500072,"3,752","1,000",0.2104,"548,232","128,212","56,597","69,659",0.3520,0.5517,1.0155
57,0.500072,0.500077,"3,855","1,000",0.2060,"552,087","124,357","57,597","68,659",0.3557,0.5438,0.9850
58,0.500077,0.500082,"3,832","1,000",0.2070,"555,919","120,525","58,597","67,659",0.3595,0.5359,0.9546
59,0.500082,0.500087,"3,353","1,000",0.2297,"559,272","117,172","59,597","66,659",0.3626,0.5280,0.9281
60,0.500087,0.500092,"3,569","1,000",0.2189,"562,841","113,603","60,597","65,659",0.3663,0.5200,0.8998
61,0.500092,0.500096,"3,208","1,000",0.2376,"566,049","110,395","61,597","64,659",0.3694,0.5121,0.8744
62,0.500096,0.500101,"3,383","1,000",0.2282,"569,432","107,012","62,597","63,659",0.3730,0.5042,0.8476
63,0.500101,0.500106,"3,309","1,000",0.2321,"572,741","103,703","63,597","62,659",0.3766,0.4963,0.8214
64,0.500106,0.500111,"3,039","1,000",0.2476,"575,780","100,664","64,597","61,659",0.3799,0.4884,0.7973
65,0.500111,0.500116,"3,148","1,000",0.2411,"578,928","97,516","65,597","60,659",0.3835,0.4804,0.7724
66,0.500116,0.500121,"3,192","1,000",0.2385,"582,120","94,324","66,597","59,659",0.3874,0.4725,0.7471
67,0.500121,0.500126,"2,987","1,000",0.2508,"585,107","91,337","67,597","58,659",0.3911,0.4646,0.7234
68,0.500126,0.500131,"2,906","1,000",0.2560,"588,013","88,431","68,597","57,659",0.3947,0.4567,0.7004
69,0.500131,0.500135,"2,749","1,000",0.2667,"590,762","85,682","69,597","56,659",0.3981,0.4488,0.6786
70,0.500135,0.500140,"2,838","1,000",0.2606,"593,600","82,844","70,597","55,659",0.4019,0.4408,0.6562
71,0.500141,0.500146,"2,745","1,000",0.2670,"596,345","80,099","71,597","54,659",0.4056,0.4329,0.6344
