Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
57,61,BRFC_alpha_0_5_Hard_Run_0,0.85,0.8694999999999999,1865,3452,0.6492382922700771,672769,3675,115421,10835,0.7467263955892488,0.08581770371309086,0.02910752756304651
110,111,BRFC_alpha_0_5_Medium_Run_0,0.9513481240981244,1.0,1002,1926,0.6577868852459017,676444,0,126256,0,,0.0,0.0
125,126,BRFC_alpha_0_5_Easy_Run_0,0.9643214285714286,1.0,1000,1224,0.5503597122302158,676444,0,126256,0,,0.0,0.0
60,63,BRFC_alpha_0_6_Hard_Run_0,0.87,0.8893333333333334,1497,3195,0.6809462915601023,673936,2508,118111,8145,0.7645733596170093,0.06451178557850716,0.01986440248384235
113,114,BRFC_alpha_0_6_Medium_Run_0,0.956,1.0,1013,1930,0.655793408086986,676444,0,126256,0,,0.0,0.0
125,126,BRFC_alpha_0_6_Easy_Run_0,0.9698929252333344,1.0,1000,1288,0.5629370629370629,676444,0,126256,0,,0.0,0.0
61,64,BRFC_alpha_0_7_Hard_Run_0,0.87,0.889804466781657,1526,3040,0.6657906263688129,673994,2450,118310,7946,0.7643324355521355,0.06293562286148777,0.01940501837536434
114,115,BRFC_alpha_0_7_Medium_Run_0,0.9579446512269092,1.0,1001,1886,0.6532732940768964,676444,0,126256,0,,0.0,0.0
125,126,BRFC_alpha_0_7_Easy_Run_0,0.9774005941590848,1.0,1001,1247,0.5547153024911032,676444,0,126256,0,,0.0,0.0
61,64,BRFC_alpha_0_8_Hard_Run_0,0.87,0.8898759018759018,1442,3014,0.676391382405745,674021,2423,118350,7906,0.7654177558330914,0.06261880623495121,0.01919116715245216
114,115,BRFC_alpha_0_8_Medium_Run_0,0.96,1.0,1079,1886,0.6360876897133221,676444,0,126256,0,,0.0,0.0
125,126,BRFC_alpha_0_8_Easy_Run_0,0.9840403912517504,1.0,1000,1262,0.5579133510167993,676444,0,126256,0,,0.0,0.0
62,65,BRFC_alpha_0_85_Hard_Run_0,0.87,0.889823219073472,1554,3082,0.6647972389991372,673878,2566,118169,8087,0.7591288838824745,0.06405240147002915,0.020323786592320366
113,114,BRFC_alpha_0_85_Medium_Run_0,0.96,1.0,1167,1975,0.6285805219605347,676444,0,126256,0,,0.0,0.0
125,126,BRFC_alpha_0_85_Easy_Run_0,0.9876601107969032,1.0,1000,1234,0.5523724261414503,676444,0,126256,0,,0.0,0.0
62,65,BRFC_alpha_0_9_Hard_Run_0,0.87,0.8898181818181818,1436,2967,0.673858732682262,673969,2475,118615,7641,0.755338078291815,0.0605198960841465,0.01960302876694969
112,113,BRFC_alpha_0_9_Medium_Run_0,0.9657024462865244,1.0,1002,1534,0.6048895899053628,676444,0,126256,0,,0.0,0.0
125,126,BRFC_alpha_0_9_Easy_Run_0,0.9910289085424228,1.0,1001,1213,0.547877145438121,676444,0,126256,0,,0.0,0.0
62,65,BRFC_alpha_0_95_Hard_Run_0,0.87,0.8898958333333334,1533,3055,0.6658674803836094,673873,2571,118416,7840,0.7530496590145039,0.062096058801165886,0.020363388670637434
112,113,BRFC_alpha_0_95_Medium_Run_0,0.97,1.0,1057,1462,0.5803890432711394,676444,0,126256,0,,0.0,0.0
125,126,BRFC_alpha_0_95_Easy_Run_0,0.995690283603714,1.0,1000,1207,0.5468962392387857,676444,0,126256,0,,0.0,0.0
61,64,BRFC_alpha_balanced_Hard_Run_0,0.87,0.8898682923282846,1585,3090,0.6609625668449198,673880,2564,118206,8050,0.758432259280196,0.06375934609048282,0.020307945760993536
113,114,BRFC_alpha_balanced_Medium_Run_0,0.96,1.0,1186,1928,0.6191393705844573,676444,0,126256,0,,0.0,0.0
125,126,BRFC_alpha_balanced_Easy_Run_0,0.9875435669470508,1.0,1002,1204,0.5457842248413418,676444,0,126256,0,,0.0,0.0
73,75,EEC_Hard_Run_0,0.5354956708466887,0.5354956708466887,3116,2579,0.45285338015803334,672240,4204,123093,3163,0.4293470883670422,0.02505227474337853,0.03329742744899252
86,87,EEC_Medium_Run_0,0.5464069677604538,0.5581697378487787,1000,1080,0.5192307692307693,676444,0,126256,0,,0.0,0.0
51,54,EEC_Easy_Run_0,0.5252049361254898,0.5252834469121102,2044,1152,0.360450563204005,672212,4232,124022,2234,0.34549953603464273,0.017694208592066912,0.03351919908756812
