,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0000,0.0788,"10,236",85,0.0082,"10,236","666,208",85,"126,171",0.1592,0.9993,5.2766
1,0.0800,0.1783,"60,025","1,028",0.0168,"70,261","606,183","1,113","125,143",0.1711,0.9912,4.8012
2,0.1800,0.2186,"39,845","1,048",0.0256,"110,106","566,338","2,161","124,095",0.1797,0.9829,4.4856
3,0.2200,0.2443,"34,646","1,165",0.0325,"144,752","531,692","3,326","122,930",0.1878,0.9737,4.2112
4,0.2450,0.2683,"25,435","1,001",0.0379,"170,187","506,257","4,327","121,929",0.1941,0.9657,4.0098
5,0.2700,0.2893,"26,384","1,160",0.0421,"196,571","479,873","5,487","120,769",0.2011,0.9565,3.8008
6,0.2900,0.3100,"27,427","1,293",0.0450,"223,998","452,446","6,780","119,476",0.2089,0.9463,3.5836
7,0.3100,0.3293,"27,971","1,607",0.0543,"251,969","424,475","8,387","117,869",0.2173,0.9336,3.3620
8,0.3300,0.3447,"28,112","1,782",0.0596,"280,081","396,363","10,169","116,087",0.2265,0.9195,3.1394
9,0.3450,0.3592,"14,881","1,001",0.0630,"294,962","381,482","11,170","115,086",0.2318,0.9115,3.0215
10,0.3600,0.3700,"14,459","1,061",0.0684,"309,421","367,023","12,231","114,025",0.2370,0.9031,2.9070
11,0.3700,0.3792,"14,122","1,143",0.0749,"323,543","352,901","13,374","112,882",0.2423,0.8941,2.7951
12,0.3800,0.3898,"14,386","1,164",0.0749,"337,929","338,515","14,538","111,718",0.2481,0.8849,2.6812
13,0.3900,0.3995,"14,231","1,251",0.0808,"352,160","324,284","15,789","110,467",0.2541,0.8749,2.5685
14,0.4000,0.4100,"14,152","1,264",0.0820,"366,312","310,132","17,053","109,203",0.2604,0.8649,2.4564
15,0.4100,0.4193,"13,875","1,387",0.0909,"380,187","296,257","18,440","107,816",0.2668,0.8539,2.3465
16,0.4200,0.4293,"13,836","1,413",0.0927,"394,023","282,421","19,853","106,403",0.2737,0.8428,2.2369
17,0.4300,0.4390,"13,694","1,456",0.0961,"407,717","268,727","21,309","104,947",0.2809,0.8312,2.1284
18,0.4400,0.4500,"13,394","1,536",0.1029,"421,111","255,333","22,845","103,411",0.2883,0.8191,2.0223
19,0.4500,0.4592,"13,089","1,569",0.1070,"434,200","242,244","24,414","101,842",0.2960,0.8066,1.9187
20,0.4600,0.4692,"12,822","1,747",0.1199,"447,022","229,422","26,161","100,095",0.3038,0.7928,1.8171
