,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.0000,0.1695,"63,569",955,0.0148,"63,569","612,875",955,"125,301",0.1697,0.9924,4.8542
1,0.1700,0.2100,"38,172","1,001",0.0256,"101,741","574,703","1,956","124,300",0.1778,0.9845,4.5519
2,0.2100,0.2393,"33,300","1,030",0.0300,"135,041","541,403","2,986","123,270",0.1855,0.9763,4.2881
3,0.2400,0.2692,"37,177","1,423",0.0369,"172,218","504,226","4,409","121,847",0.1946,0.9651,3.9937
4,0.2700,0.2889,"26,508","1,204",0.0434,"198,726","477,718","5,613","120,643",0.2016,0.9555,3.7837
5,0.2900,0.3100,"27,489","1,281",0.0445,"226,215","450,229","6,894","119,362",0.2096,0.9454,3.5660
6,0.3100,0.3292,"27,882","1,529",0.0520,"254,097","422,347","8,423","117,833",0.2181,0.9333,3.3452
7,0.3300,0.3420,"28,030","1,829",0.0613,"282,127","394,317","10,252","116,004",0.2273,0.9188,3.1232
8,0.3425,0.3592,"14,845","1,000",0.0631,"296,972","379,472","11,252","115,004",0.2326,0.9109,3.0056
9,0.3600,0.3695,"14,159","1,044",0.0687,"311,131","365,313","12,296","113,960",0.2378,0.9026,2.8934
10,0.3700,0.3797,"13,930","1,140",0.0756,"325,061","351,383","13,436","112,820",0.2430,0.8936,2.7831
11,0.3800,0.3900,"14,278","1,170",0.0757,"339,339","337,105","14,606","111,650",0.2488,0.8843,2.6700
12,0.3900,0.3993,"14,031","1,141",0.0752,"353,370","323,074","15,747","110,509",0.2549,0.8753,2.5589
13,0.4000,0.4092,"13,996","1,297",0.0848,"367,366","309,078","17,044","109,212",0.2611,0.8650,2.4480
14,0.4100,0.4198,"13,839","1,394",0.0915,"381,205","295,239","18,438","107,818",0.2675,0.8540,2.3384
15,0.4200,0.4300,"13,533","1,460",0.0974,"394,738","281,706","19,898","106,358",0.2741,0.8424,2.2312
16,0.4300,0.4400,"13,662","1,513",0.0997,"408,400","268,044","21,411","104,845",0.2812,0.8304,2.1230
17,0.4400,0.4498,"13,092","1,633",0.1109,"421,492","254,952","23,044","103,212",0.2882,0.8175,2.0193
18,0.4500,0.4600,"12,956","1,617",0.1110,"434,448","241,996","24,661","101,595",0.2957,0.8047,1.9167
19,0.4600,0.4689,"12,924","1,718",0.1173,"447,372","229,072","26,379","99,877",0.3036,0.7911,1.8143
20,0.4700,0.4800,"12,492","1,710",0.1204,"459,864","216,580","28,089","98,167",0.3119,0.7775,1.7154
21,0.4800,0.4894,"12,246","1,870",0.1325,"472,110","204,334","29,959","96,297",0.3203,0.7627,1.6184
22,0.4900,0.4995,"11,853","1,932",0.1402,"483,963","192,481","31,891","94,365",0.3290,0.7474,1.5245
23,0.5000,0.5098,"11,807","1,936",0.1409,"495,770","180,674","33,827","92,429",0.3384,0.7321,1.4310
24,0.5100,0.5200,"11,357","1,899",0.1433,"507,127","169,317","35,726","90,530",0.3484,0.7170,1.3411
25,0.5200,0.5300,"10,624","2,017",0.1596,"517,751","158,693","37,743","88,513",0.3581,0.7011,1.2569
26,0.5300,0.5400,"10,377","2,185",0.1739,"528,128","148,316","39,928","86,328",0.3679,0.6838,1.1747
27,0.5400,0.5500,"9,801","2,182",0.1821,"537,929","138,515","42,110","84,146",0.3779,0.6665,1.0971
28,0.5500,0.5600,"9,513","2,226",0.1896,"547,442","129,002","44,336","81,920",0.3884,0.6488,1.0217
29,0.5600,0.5692,"8,913","2,330",0.2072,"556,355","120,089","46,666","79,590",0.3986,0.6304,0.9512
30,0.5700,0.5792,"8,574","2,315",0.2126,"564,929","111,515","48,981","77,275",0.4093,0.6121,0.8832
31,0.5800,0.5895,"8,150","2,276",0.2183,"573,079","103,365","51,257","74,999",0.4205,0.5940,0.8187
32,0.5900,0.5999,"7,620","2,370",0.2372,"580,699","95,745","53,627","72,629",0.4314,0.5753,0.7583
33,0.6000,0.6100,"7,328","2,255",0.2353,"588,027","88,417","55,882","70,374",0.4432,0.5574,0.7003
34,0.6100,0.6198,"6,987","2,268",0.2451,"595,014","81,430","58,150","68,106",0.4554,0.5394,0.6450
35,0.6200,0.6300,"6,499","2,321",0.2632,"601,513","74,931","60,471","65,785",0.4675,0.5210,0.5935
36,0.6300,0.6400,"6,041","2,374",0.2821,"607,554","68,890","62,845","63,411",0.4793,0.5022,0.5456
37,0.6400,0.6498,"5,577","2,274",0.2896,"613,131","63,313","65,119","61,137",0.4913,0.4842,0.5015
38,0.6500,0.6600,"5,280","2,396",0.3121,"618,411","58,033","67,515","58,741",0.5030,0.4653,0.4596
39,0.6600,0.6700,"4,827","2,334",0.3259,"623,238","53,206","69,849","56,407",0.5146,0.4468,0.4214
40,0.6700,0.6800,"4,643","2,419",0.3425,"627,881","48,563","72,268","53,988",0.5265,0.4276,0.3846
41,0.6800,0.6899,"4,210","2,311",0.3544,"632,091","44,353","74,579","51,677",0.5381,0.4093,0.3513
42,0.6900,0.6992,"3,985","2,281",0.3640,"636,076","40,368","76,860","49,396",0.5503,0.3912,0.3197
43,0.7000,0.7100,"3,675","2,252",0.3800,"639,751","36,693","79,112","47,144",0.5623,0.3734,0.2906
44,0.7100,0.7197,"3,470","2,254",0.3938,"643,221","33,223","81,366","44,890",0.5747,0.3555,0.2631
45,0.7200,0.7297,"3,167","2,365",0.4275,"646,388","30,056","83,731","42,525",0.5859,0.3368,0.2381
46,0.7300,0.7393,"2,899","2,400",0.4529,"649,287","27,157","86,131","40,125",0.5964,0.3178,0.2151
47,0.7400,0.7495,"2,751","2,296",0.4549,"652,038","24,406","88,427","37,829",0.6078,0.2996,0.1933
48,0.7500,0.7592,"2,568","2,242",0.4661,"654,606","21,838","90,669","35,587",0.6197,0.2819,0.1730
49,0.7600,0.7697,"2,439","2,265",0.4815,"657,045","19,399","92,934","33,322",0.6320,0.2639,0.1536
50,0.7700,0.7796,"2,285","2,323",0.5041,"659,330","17,114","95,257","30,999",0.6443,0.2455,0.1355
51,0.7800,0.7892,"2,051","2,211",0.5188,"661,381","15,063","97,468","28,788",0.6565,0.2280,0.1193
52,0.7900,0.7998,"1,903","2,251",0.5419,"663,284","13,160","99,719","26,537",0.6685,0.2102,0.1042
53,0.8000,0.8100,"1,756","2,295",0.5665,"665,040","11,404","102,014","24,242",0.6801,0.1920,0.0903
54,0.8100,0.8193,"1,520","2,174",0.5885,"666,560","9,884","104,188","22,068",0.6907,0.1748,0.0783
55,0.8200,0.8292,"1,484","2,149",0.5915,"668,044","8,400","106,337","19,919",0.7034,0.1578,0.0665
56,0.8300,0.8392,"1,296","2,135",0.6223,"669,340","7,104","108,472","17,784",0.7146,0.1409,0.0563
57,0.8400,0.8492,"1,236","2,075",0.6267,"670,576","5,868","110,547","15,709",0.7280,0.1244,0.0465
58,0.8500,0.8692,"2,006","3,784",0.6535,"672,582","3,862","114,331","11,925",0.7554,0.0945,0.0306
59,0.8700,0.8896,"1,432","3,267",0.6953,"674,014","2,430","117,598","8,658",0.7808,0.0686,0.0192
60,0.8900,0.9195,"1,363","3,958",0.7438,"675,377","1,067","121,556","4,700",0.8150,0.0372,0.0085
61,0.9200,1.0000,"1,067","4,700",0.8150,"676,444",0,"126,256",0,nan,0.0000,0.0000
