,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.000000,156,nan,nan,156,"676,288",nan,nan,nan,nan,nan
1,0.010000,0.015000,319,1.0,0.0031,475,"675,969",1.0,"126,255.0",0.1574,1.0000,5.3540
2,0.020000,0.025000,579,3.0,0.0052,"1,054","675,390",4.0,"126,252.0",0.1575,1.0000,5.3494
3,0.030000,0.035000,997,5.0,0.0050,"2,051","674,393",9.0,"126,247.0",0.1577,0.9999,5.3415
4,0.036667,0.037500,4,1.0,0.2000,"2,055","674,389",10.0,"126,246.0",0.1577,0.9999,5.3414
5,0.040000,0.048333,"1,429",11.0,0.0076,"3,484","672,960",21.0,"126,235.0",0.1580,0.9998,5.3301
6,0.050000,0.060000,"1,980",18.0,0.0090,"5,464","670,980",39.0,"126,217.0",0.1583,0.9997,5.3144
7,0.060000,0.067500,"2,367",15.0,0.0063,"7,831","668,613",54.0,"126,202.0",0.1588,0.9996,5.2957
8,0.070000,0.078000,"2,919",30.0,0.0102,"10,750","665,694",84.0,"126,172.0",0.1593,0.9993,5.2726
9,0.080000,0.088571,"3,506",41.0,0.0116,"14,256","662,188",125.0,"126,131.0",0.1600,0.9990,5.2448
10,0.090000,0.098000,"4,059",53.0,0.0129,"18,315","658,129",178.0,"126,078.0",0.1608,0.9986,5.2127
11,0.100000,0.108000,"4,720",52.0,0.0109,"23,035","653,409",230.0,"126,026.0",0.1617,0.9982,5.1753
12,0.110000,0.114500,"5,252",81.0,0.0152,"28,287","648,157",311.0,"125,945.0",0.1627,0.9975,5.1337
13,0.115000,0.119167,69,1.0,0.0143,"28,356","648,088",312.0,"125,944.0",0.1627,0.9975,5.1331
14,0.120000,0.124000,"5,885",83.0,0.0139,"34,241","642,203",395.0,"125,861.0",0.1639,0.9969,5.0865
15,0.125000,0.126667,78,1.0,0.0127,"34,319","642,125",396.0,"125,860.0",0.1639,0.9969,5.0859
16,0.127500,0.128000,8,1.0,0.1111,"34,327","642,117",397.0,"125,859.0",0.1639,0.9969,5.0858
17,0.128333,0.128571,2,1.0,0.3333,"34,329","642,115",398.0,"125,858.0",0.1639,0.9968,5.0858
18,0.130000,0.134000,"6,386",98.0,0.0151,"40,715","635,729",496.0,"125,760.0",0.1652,0.9961,5.0352
19,0.135000,0.138667,120,2.0,0.0164,"40,835","635,609",498.0,"125,758.0",0.1652,0.9961,5.0343
20,0.140000,0.143333,"6,993",118.0,0.0166,"47,828","628,616",616.0,"125,640.0",0.1666,0.9951,4.9789
21,0.144000,0.144286,4,1.0,0.2000,"47,832","628,612",617.0,"125,639.0",0.1666,0.9951,4.9789
22,0.145000,0.146000,73,1.0,0.0135,"47,905","628,539",618.0,"125,638.0",0.1666,0.9951,4.9783
23,0.146667,0.149167,57,1.0,0.0172,"47,962","628,482",619.0,"125,637.0",0.1666,0.9951,4.9778
24,0.150000,0.152500,"7,461",156.0,0.0205,"55,423","621,021",775.0,"125,481.0",0.1681,0.9939,4.9187
25,0.153333,0.153333,31,1.0,0.0312,"55,454","620,990",776.0,"125,480.0",0.1681,0.9939,4.9185
26,0.154000,0.154286,8,1.0,0.1111,"55,462","620,982",777.0,"125,479.0",0.1681,0.9938,4.9184
27,0.155000,0.155238,75,1.0,0.0132,"55,537","620,907",778.0,"125,478.0",0.1681,0.9938,4.9178
28,0.156000,0.156000,2,1.0,0.3333,"55,539","620,905",779.0,"125,477.0",0.1681,0.9938,4.9178
29,0.156667,0.159000,51,2.0,0.0377,"55,590","620,854",781.0,"125,475.0",0.1681,0.9938,4.9174
30,0.160000,0.162500,"8,049",186.0,0.0226,"63,639","612,805",967.0,"125,289.0",0.1697,0.9923,4.8537
31,0.163333,0.164286,48,1.0,0.0204,"63,687","612,757",968.0,"125,288.0",0.1698,0.9923,4.8533
32,0.165000,0.165333,87,2.0,0.0225,"63,774","612,670",970.0,"125,286.0",0.1698,0.9923,4.8526
33,0.165714,0.166667,44,1.0,0.0222,"63,818","612,626",971.0,"125,285.0",0.1698,0.9923,4.8523
34,0.167500,0.168333,22,1.0,0.0435,"63,840","612,604",972.0,"125,284.0",0.1698,0.9923,4.8521
35,0.170000,0.173333,"8,461",193.0,0.0223,"72,301","604,143","1,165.0","125,091.0",0.1715,0.9908,4.7851
36,0.174000,0.174000,9,1.0,0.1000,"72,310","604,134","1,166.0","125,090.0",0.1715,0.9908,4.7850
