,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0016,0,1,0,1,676443,0,126256,5.357709732606767,0.15728934507206313
1,0.0026,0,1,0,2,676442,0,126256,5.357701812191104,0.15728954102290027
2,0.0033,0,1,0,3,676441,0,126256,5.35769389177544,0.15728973697422563
3,0.0034,0,1,0,4,676440,0,126256,5.357685971359777,0.15728993292603924
4,0.0036,0,1,0,5,676439,0,126256,5.357678050944114,0.1572901288783411
5,0.004,0,1,0,6,676438,0,126256,5.35767013052845,0.15729032483113117
6,0.0041,0,1,0,7,676437,0,126256,5.357662210112787,0.15729052078440947
7,0.0044,0,1,0,8,676436,0,126256,5.357654289697123,0.15729071673817605
8,0.0045,0,2,0,10,676434,0,126256,5.357638448865797,0.15729110864717388
9,0.0046,0,1,0,11,676433,0,126256,5.357630528450133,0.15729130460240517
10,0.0047,0,1,0,12,676432,0,126256,5.35762260803447,0.1572915005581247
11,0.0048,0,1,0,13,676431,0,126256,5.357614687618806,0.15729169651433247
12,0.0049,0,3,0,16,676428,0,126256,5.357590926371816,0.15729228438588536
13,0.005,0,2,0,18,676426,0,126256,5.357575085540489,0.15729267630269522
14,0.0051,0,3,0,21,676423,0,126256,5.357551324293499,0.15729326418157197
15,0.0052,0,2,0,23,676421,0,126256,5.357535483462172,0.15729365610326446
16,0.0053,0,2,0,25,676419,0,126256,5.357519642630845,0.15729404802691002
17,0.0054,0,2,0,27,676417,0,126256,5.357503801799519,0.1572944399525087
18,0.0055,0,2,0,29,676415,0,126256,5.357487960968192,0.15729483188006044
19,0.0056,0,1,0,30,676414,0,126256,5.357480040552528,0.15729502784456875
20,0.0057,1,2,1,32,676412,1,126255,5.357464199721202,0.15729436989436466
21,0.0058,0,1,0,33,676411,1,126255,5.357456279305538,0.15729456585927398
22,0.0059,0,4,0,37,676407,1,126255,5.3574245976428845,0.15729534972379408
23,0.006,0,2,0,39,676405,1,126255,5.357408756811558,0.15729574165898388
24,0.0061,0,4,0,43,676401,1,126255,5.357377075148904,0.15729652553522305
25,0.0062,0,3,0,46,676398,1,126255,5.357353313901913,0.15729711344752964
26,0.0063,0,4,0,50,676394,1,126255,5.35732163223926,0.1572978973374414
27,0.0064,0,3,0,53,676391,1,126255,5.357297870992269,0.15729848526000254
28,0.0065,0,5,0,58,676386,1,126255,5.357258268913952,0.15729946514070425
29,0.0066,0,2,0,60,676384,1,126255,5.357242428082626,0.15729985709640323
30,0.0067,0,3,0,63,676381,1,126255,5.357218666835635,0.15730044503361423
31,0.0068,0,7,0,70,676374,1,126255,5.357163223925991,0.1573018169041986
32,0.0069,0,5,0,75,676369,1,126255,5.357123621847674,0.15730279682640938
33,0.007,1,5,1,80,676364,2,126254,5.357084019769357,0.1573027268264604
34,0.0071,0,6,0,86,676358,2,126254,5.357036497275377,0.15730390275749678
35,0.0072,0,6,0,92,676352,2,126254,5.356988974781396,0.15730507870611482
36,0.0073,0,5,0,97,676347,2,126254,5.356949372703079,0.15730605867672728
37,0.0074,0,12,0,109,676335,2,126254,5.356854327715118,0.15730841065601447
38,0.0075,0,4,0,113,676331,2,126254,5.356822646052465,0.15730919466473955
39,0.0076,0,12,0,125,676319,2,126254,5.356727601064504,0.15731154673780454
40,0.0077,0,9,0,134,676310,2,126254,5.356656317323533,0.15731331083876177
41,0.0078,0,8,0,142,676302,2,126254,5.356592953998226,0.1573148789617173
42,0.0079,0,7,0,149,676295,2,126254,5.356537511088582,0.1573162510949487
43,0.008,0,8,0,157,676287,2,126254,5.356474147763275,0.15731781927652294
44,0.0081,0,15,0,172,676272,2,126254,5.356355341528324,0.15732075970124332
45,0.0082,0,5,0,177,676267,2,126254,5.3563157394500065,0.15732173986724335
46,0.0083,0,5,0,182,676262,2,126254,5.356276137371689,0.15732272004545703
47,0.0084,0,19,0,201,676243,2,126254,5.356125649474085,0.1573264448340617
48,0.0085,0,13,0,214,676230,2,126254,5.35602268407046,0.15732899347525933
49,0.0086,0,15,0,229,676215,2,126254,5.355903877835509,0.15733193431771197
50,0.0087,0,14,0,243,676201,2,126254,5.355792992016221,0.1573346792031952
51,0.0088,1,11,1,254,676190,3,126253,5.355705867443923,0.15733578584397895
52,0.0089,0,10,0,264,676180,3,126253,5.355626663287289,0.157337746578219
53,0.009,1,11,1,275,676169,4,126252,5.355539538714992,0.15733885329521535
54,0.0091,0,18,0,293,676151,4,126252,5.35539697123305,0.1573423828176116
55,0.0092,0,15,0,308,676136,4,126252,5.355278164998099,0.15734532420724137
56,0.0093,1,12,1,320,676124,5,126251,5.355183120010138,0.15734662720049852
57,0.0094,1,9,1,329,676115,6,126250,5.355111836269168,0.15734734192044766
58,0.0095,0,16,0,345,676099,6,126250,5.354985109618553,0.1573504796541156
59,0.0096,0,17,0,362,676082,6,126250,5.354850462552275,0.15735381363325904
60,0.0097,0,21,0,383,676061,6,126250,5.354684133823343,0.15735793227314596
61,0.0098,0,15,0,398,676046,6,126250,5.354565327588392,0.15736087429078544
62,0.0099,0,15,0,413,676031,6,126250,5.354446521353441,0.15736381641843694
63,0.01,0,11,0,424,676020,6,126250,5.354359396781143,0.157365974048637
64,0.0101,1,18,1,442,676002,7,126249,5.354216829299202,0.15736845451111933
65,0.0102,0,10,0,452,675992,7,126249,5.354137625142568,0.1573704161218387
66,0.0103,0,25,0,477,675967,7,126249,5.353939614750982,0.1573753203625956
67,0.0104,0,23,0,500,675944,7,126249,5.353757445190723,0.15737983253406598
68,0.0105,0,17,0,517,675927,7,126249,5.353622798124445,0.15738316778362854
69,0.0106,0,26,0,543,675901,7,126249,5.353416867317197,0.15738826902698996
70,0.0107,1,20,1,563,675881,8,126248,5.3532584590039285,0.15739114282116717
71,0.0108,2,23,2,586,675858,10,126246,5.35307628944367,0.15739355495048024
72,0.0109,0,23,0,609,675835,10,126246,5.352894119883412,0.1573980682748999
73,0.011,0,21,0,630,675814,10,126246,5.3527277911544795,0.15740218936239184
74,0.0111,1,26,1,656,675788,11,126245,5.352521860347231,0.15740624138907003
75,0.0112,0,37,0,693,675751,11,126245,5.352228804967685,0.15741350330924345
76,0.0113,0,27,0,720,675724,11,126245,5.3520149537447725,0.15741880297118716
