,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.021155,0.027159,149,7,0.0449,149,"676,295",7,"126,249",0.1573,0.9999,5.3565
1,0.027167,0.028462,150,10,0.0625,299,"676,145",17,"126,239",0.1573,0.9999,5.3553
2,0.028466,0.029467,261,10,0.0369,560,"675,884",27,"126,229",0.1574,0.9998,5.3533
3,0.029476,0.030069,195,10,0.0488,755,"675,689",37,"126,219",0.1574,0.9997,5.3517
4,0.030070,0.030697,383,11,0.0279,"1,138","675,306",48,"126,208",0.1575,0.9996,5.3487
5,0.030706,0.031420,260,10,0.0370,"1,398","675,046",58,"126,198",0.1575,0.9995,5.3466
6,0.031422,0.031598,152,11,0.0675,"1,550","674,894",69,"126,187",0.1575,0.9995,5.3454
7,0.031601,0.031948,319,10,0.0304,"1,869","674,575",79,"126,177",0.1576,0.9994,5.3429
8,0.031953,0.032221,217,10,0.0441,"2,086","674,358",89,"126,167",0.1576,0.9993,5.3412
9,0.032235,0.032563,304,10,0.0318,"2,390","674,054",99,"126,157",0.1577,0.9992,5.3388
10,0.032565,0.033084,617,10,0.0159,"3,007","673,437",109,"126,147",0.1578,0.9991,5.3339
11,0.033084,0.033403,364,10,0.0267,"3,371","673,073",119,"126,137",0.1578,0.9991,5.3310
12,0.033409,0.033647,304,12,0.0380,"3,675","672,769",131,"126,125",0.1579,0.9990,5.3286
13,0.033648,0.033906,313,10,0.0310,"3,988","672,456",141,"126,115",0.1579,0.9989,5.3261
14,0.033909,0.034247,398,10,0.0245,"4,386","672,058",151,"126,105",0.1580,0.9988,5.3230
15,0.034262,0.034441,238,10,0.0403,"4,624","671,820",161,"126,095",0.1580,0.9987,5.3211
16,0.034451,0.034630,147,10,0.0637,"4,771","671,673",171,"126,085",0.1580,0.9986,5.3199
17,0.034632,0.034804,228,10,0.0420,"4,999","671,445",181,"126,075",0.1581,0.9986,5.3181
18,0.034805,0.034979,268,13,0.0463,"5,267","671,177",194,"126,062",0.1581,0.9985,5.3160
19,0.034980,0.035330,436,11,0.0246,"5,703","670,741",205,"126,051",0.1582,0.9984,5.3125
20,0.035331,0.035487,258,12,0.0444,"5,961","670,483",217,"126,039",0.1582,0.9983,5.3105
21,0.035492,0.035830,334,10,0.0291,"6,295","670,149",227,"126,029",0.1583,0.9982,5.3079
22,0.035831,0.036017,214,10,0.0446,"6,509","669,935",237,"126,019",0.1583,0.9981,5.3062
