,count
0.17787613,21
0.16819766,16
0.13163036,14
0.12440725,12
0.15420553,11
0.073382504,11
0.17658904,11
0.063126855,9
0.1707761,9
0.14408407,9
0.08410569,9
0.14340004,9
0.18428661,9
0.1212864,8
0.15990034,8
0.10147624,8
0.14947093,8
0.07172585,8
0.1249587,8
0.11890773,8
0.1182158,8
0.071857624,8
0.19071789,8
0.09135085,7
0.19123033,7
0.27443588,7
0.073864155,7
0.07790367,7
0.11594518,7
0.26001507,7
0.3495229,7
0.250542,7
0.08251619,7
0.060992405,7
0.20397735,7
0.24154028,7
0.094848394,7
0.15114726,7
0.2155484,7
0.29360315,7
0.050596934,7
0.20116076,7
0.14322357,7
0.08965718,7
0.11443041,7
0.03388154,7
0.06058488,6
0.20958178,6
0.09075469,6
0.09563579,6
0.07703268,6
0.23262939,6
0.0843189,6
0.07820167,6
0.05945665,6
0.08125246,6
0.07715403,6
0.22611967,6
0.056548685,6
0.0924092,6
0.073771805,6
0.06690859,6
0.08136715,6
0.20490928,6
0.07895889,6
0.047622055,6
0.08670745,6
0.04184118,6
0.20579058,6
0.046905674,6
0.080176525,6
0.09184562,6
0.08371023,6
0.21360753,6
0.11007798,6
0.08270063,6
0.07359513,6
0.038160797,6
0.10612852,6
0.10020672,6
0.10779992,6
0.113382764,6
0.120114885,6
0.111455634,6
0.2370083,6
0.07332047,6
0.10142295,6
0.124758445,6
0.07065489,6
0.18441473,6
0.22892499,6
0.06905121,6
0.10135622,6
0.23766704,6
0.14605814,6
0.1589537,6
0.088153474,6
0.22837964,6
0.08237796,6
0.1955962,6
