,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0,0,143,0,143,676301,0,126256,5.356585033582562,0.15731717497947187
1,0.005,0,1,0,144,676300,0,126256,5.356577113166899,0.1573173709996561
2,0.01,2,245,2,389,676055,2,126254,5.354636611329362,0.15736331014609084
3,0.0125,0,1,0,390,676054,2,126254,5.3546286909136995,0.1573635062843696
4,0.02,6,550,6,940,675504,8,126248,5.350272462298822,0.15746515131861225
5,0.0267,0,2,0,942,675502,8,126248,5.350256621467494,0.15746554412223263
6,0.03,5,882,5,1824,674620,13,126243,5.343270814852364,0.15763370264327356
7,0.0325,0,1,0,1825,674619,13,126243,5.3432628944367,0.1576338994733175
8,0.0333,0,2,0,1827,674617,13,126243,5.343247053605373,0.15763429313488
9,0.035,0,5,0,1832,674612,13,126243,5.343207451527056,0.1576352772973884
10,0.0367,0,1,0,1833,674611,13,126243,5.3431995311113925,0.15763547413136478
11,0.0375,0,2,0,1835,674609,13,126243,5.343183690280066,0.15763586780079217
12,0.04,11,1404,11,3239,673205,24,126232,5.332063426688633,0.1579011229152516
13,0.0425,0,1,0,3240,673204,24,126232,5.332055506272969,0.1579013204309038
14,0.0433,0,4,0,3244,673200,24,126232,5.3320238246103155,0.1579021104984539
15,0.045,0,11,0,3255,673189,24,126232,5.331936700038018,0.1579042832249841
16,0.0467,0,1,0,3256,673188,24,126232,5.331928779622355,0.15790448074854269
17,0.047,0,1,0,3257,673187,24,126232,5.331920859206691,0.15790467827259547
18,0.0475,0,1,0,3258,673186,24,126232,5.331912938791028,0.1579048757971424
19,0.05,14,1909,14,5167,671277,38,126218,5.31679286528957,0.15826807691584274
20,0.0517,0,2,0,5169,671275,38,126218,5.3167770244582435,0.15826847382986434
21,0.0525,0,1,0,5170,671274,38,126218,5.31676910404258,0.1582686722876217
22,0.0533,0,5,0,5175,671269,38,126218,5.3167295019642635,0.1582696645838741
23,0.0542,0,1,0,5176,671268,38,126218,5.3167215815486,0.1582698630446177
24,0.055,0,18,0,5194,671250,38,126218,5.316579014066658,0.15827343542311414
25,0.0567,0,5,0,5199,671245,38,126218,5.316539411988341,0.15827442777909445
26,0.0575,0,1,0,5200,671244,38,126218,5.316531491572678,0.1582746262517838
27,0.06,17,2295,17,7495,668949,55,126201,5.298354137625142,0.15871345029239767
28,0.0625,0,4,0,7499,668945,55,126201,5.298322455962489,0.1587142487040116
29,0.0633,0,7,0,7506,668938,55,126201,5.298267013052845,0.1587156459436652
30,0.065,1,16,1,7522,668922,56,126200,5.29814028640223,0.15871778167375572
31,0.066,0,1,0,7523,668921,56,126200,5.298132365986567,0.15871798128838252
32,0.0667,0,6,0,7529,668915,56,126200,5.298084843492586,0.15871917898668747
33,0.0675,0,2,0,7531,668913,56,126200,5.29806900266126,0.15871957822347263
34,0.068,0,1,0,7532,668912,56,126200,5.298061082245597,0.1587197778426184
35,0.07,35,2900,35,10432,666012,91,126165,5.275091876821696,0.1592636494116845
36,0.0717,0,2,0,10434,666010,91,126165,5.275076035990368,0.15926405150377126
37,0.0725,0,6,0,10440,666004,91,126165,5.275028513496388,0.15926525779221354
38,0.0733,0,4,0,10444,666000,91,126165,5.274996831833735,0.1592660619946602
39,0.075,1,27,1,10471,665973,92,126164,5.274782980610823,0.15927042923130721
40,0.0753,0,2,0,10473,665971,92,126164,5.274767139779495,0.15927083136081602
41,0.0767,0,12,0,10485,665959,92,126164,5.274672094791534,0.15927324418051236
42,0.0775,0,1,0,10486,665958,92,126164,5.2746641743758715,0.15927344525212025
43,0.078,0,1,0,10487,665957,92,126164,5.274656253960208,0.15927364632423582
44,0.08,37,3464,37,13951,662493,129,126127,5.247219934102142,0.1599338084248434
45,0.082,0,4,0,13955,662489,129,126127,5.247188252439488,0.1599346196374408
46,0.0825,0,5,0,13960,662484,129,126127,5.247148650361171,0.15993563366475994
47,0.0833,0,13,0,13973,662471,129,126127,5.247045684957547,0.15993827019596804
48,0.084,0,2,0,13975,662469,129,126127,5.24702984412622,0.15993867582386925
49,0.085,0,26,0,14001,662443,129,126127,5.246823913318971,0.15994394917382096
50,0.0867,0,11,0,14012,662432,129,126127,5.246736788746674,0.1599461803111752
51,0.0883,0,1,0,14013,662431,129,126127,5.24672886833101,0.15994638314493037
52,0.09,41,3940,41,17953,658491,170,126086,5.215522430617159,0.16070570511243637
53,0.0917,0,1,0,17954,658490,170,126086,5.215514510201495,0.1607059099437148
54,0.092,0,2,0,17956,658488,170,126086,5.215498669370168,0.16070631960783813
55,0.0925,0,6,0,17962,658482,170,126086,5.215451146876188,0.16070754861273975
56,0.0933,0,10,0,17972,658472,170,126086,5.215371942719554,0.16070959699601559
57,0.094,0,2,0,17974,658470,170,126086,5.2153561018882275,0.16071000667893687
58,0.095,0,38,0,18012,658432,170,126086,5.215055126093017,0.1607177910513207
59,0.0958,0,1,0,18013,658431,170,126086,5.215047205677354,0.16071799591340913
60,0.096,0,2,0,18015,658429,170,126086,5.215031364846027,0.16071840563915285
61,0.0967,1,17,1,18032,658412,171,126085,5.214896717779749,0.16072081856272236
62,0.0975,0,6,0,18038,658406,171,126085,5.214849195285769,0.1607220477991462
63,0.098,0,2,0,18040,658404,171,126085,5.214833354454441,0.16072245754879927
64,0.0983,0,1,0,18041,658403,171,126085,5.2148254340387785,0.1607226624244093
65,0.0991,0,1,0,18042,658402,171,126085,5.214817513623115,0.16072286730054164
66,0.1,49,4514,49,22556,653888,220,126036,5.179064757318464,0.16160036106082132
67,0.101,0,1,0,22557,653887,220,126036,5.1790568369028005,0.1616005682612258
68,0.1017,0,5,0,22562,653882,220,126036,5.179017234824483,0.16160160427121825
69,0.102,0,3,0,22565,653879,220,126036,5.178993473577493,0.16160222588358988
70,0.1025,0,7,0,22572,653872,220,126036,5.178938030667849,0.16160367633105444
71,0.1033,0,16,0,22588,653856,220,126036,5.178811304017235,0.16160699173731746
72,0.104,0,1,0,22589,653855,220,126036,5.178803383601571,0.16160719895472572
73,0.1043,0,1,0,22590,653854,220,126036,5.178795463185908,0.16160740617266536
74,0.105,1,47,1,22637,653807,221,126035,5.178423203649728,0.1616160709477048
75,0.1057,0,1,0,22638,653806,221,126035,5.178415283234064,0.1616162781900413
76,0.106,0,2,0,22640,653804,221,126035,5.178399442402737,0.16161669267630882
77,0.1067,0,22,0,22662,653782,221,126035,5.178225193258142,0.1616212521655722
