,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.000952,"4,741",175,0.0356,"4,741","671,703",175,"126,081",0.1580,0.9986,5.3202
1,0.001000,0.001905,366,15,0.0394,"5,107","671,337",190,"126,066",0.1581,0.9985,5.3173
2,0.002000,0.002381,155,11,0.0663,"5,262","671,182",201,"126,055",0.1581,0.9984,5.3160
3,0.002500,0.003279,362,10,0.0269,"5,624","670,820",211,"126,045",0.1582,0.9983,5.3132
4,0.003333,0.003784,311,14,0.0431,"5,935","670,509",225,"126,031",0.1582,0.9982,5.3107
5,0.003801,0.004201,192,10,0.0495,"6,127","670,317",235,"126,021",0.1583,0.9981,5.3092
6,0.004217,0.004877,171,10,0.0552,"6,298","670,146",245,"126,011",0.1583,0.9981,5.3078
7,0.005000,0.005227,259,10,0.0372,"6,557","669,887",255,"126,001",0.1583,0.9980,5.3058
8,0.005269,0.005857,214,10,0.0446,"6,771","669,673",265,"125,991",0.1583,0.9979,5.3041
9,0.005870,0.006196,163,10,0.0578,"6,934","669,510",275,"125,981",0.1584,0.9978,5.3028
10,0.006207,0.006615,106,10,0.0862,"7,040","669,404",285,"125,971",0.1584,0.9977,5.3020
11,0.006667,0.007222,323,20,0.0583,"7,363","669,081",305,"125,951",0.1584,0.9976,5.2994
12,0.007238,0.007476,79,11,0.1222,"7,442","669,002",316,"125,940",0.1584,0.9975,5.2988
13,0.007500,0.008056,232,16,0.0645,"7,674","668,770",332,"125,924",0.1585,0.9974,5.2969
14,0.008095,0.008571,189,10,0.0503,"7,863","668,581",342,"125,914",0.1585,0.9973,5.2954
15,0.008636,0.009389,204,10,0.0467,"8,067","668,377",352,"125,904",0.1585,0.9972,5.2938
16,0.009444,0.009929,124,10,0.0746,"8,191","668,253",362,"125,894",0.1585,0.9971,5.2928
17,0.010000,0.010756,791,37,0.0447,"8,982","667,462",399,"125,857",0.1586,0.9968,5.2866
18,0.010759,0.011250,188,11,0.0553,"9,170","667,274",410,"125,846",0.1587,0.9968,5.2851
19,0.011296,0.011875,243,10,0.0395,"9,413","667,031",420,"125,836",0.1587,0.9967,5.2832
20,0.011923,0.012461,187,10,0.0508,"9,600","666,844",430,"125,826",0.1587,0.9966,5.2817
21,0.012500,0.013162,241,12,0.0474,"9,841","666,603",442,"125,814",0.1588,0.9965,5.2798
