,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec
0,0.0,5,343,5,343,676101,5,126251,5.355000950449879,0.15735113765529343
1,0.0014,0,1,0,344,676100,5,126251,5.354993030034216,0.15735133376788962
2,0.0017,0,3,0,347,676097,5,126251,5.354969268787226,0.15735192210861124
3,0.002,0,3,0,350,676094,5,126251,5.3549455075402355,0.1573525104537325
4,0.0025,0,2,0,352,676092,5,126251,5.354929666708909,0.15735290268625762
5,0.0029,0,3,0,355,676089,5,126251,5.354905905461918,0.15735349103871177
6,0.0033,0,11,0,366,676078,5,126251,5.354818780889621,0.15735564836868665
7,0.004,0,4,0,370,676074,5,126251,5.354787099226967,0.15735643286698034
8,0.0041,0,2,0,372,676072,5,126251,5.35477125839564,0.15735682511906052
9,0.0042,0,1,0,373,676071,5,126251,5.3547633379799775,0.15735702124583398
10,0.005,0,27,0,400,676044,5,126251,5.354549486757065,0.15736231685352645
11,0.006,0,1,0,401,676043,5,126251,5.3545415663414015,0.15736251299398973
12,0.0067,1,12,1,413,676031,6,126250,5.354446521353441,0.15736381641843694
13,0.007,0,1,0,414,676030,6,126250,5.354438600937777,0.15736401256419205
14,0.0075,0,5,0,419,676025,6,126250,5.35439899885946,0.15736499330030226
15,0.008,0,3,0,422,676022,6,126250,5.35437523761247,0.15736558174783616
16,0.0083,0,10,0,432,676012,6,126250,5.354296033455836,0.15736754327140012
17,0.0085,0,2,0,434,676010,6,126250,5.3542801926245085,0.1573679355819809
18,0.009,0,1,0,435,676009,6,126250,5.354272272208846,0.15736813173800482
19,0.0097,0,1,0,436,676008,6,126250,5.354264351793182,0.1573683278945177
20,0.01,7,444,7,880,675564,13,126243,5.350747687238626,0.1574481140723391
21,0.0108,0,1,0,881,675563,13,126243,5.350739766822963,0.15744831043918353
22,0.0109,0,2,0,883,675561,13,126243,5.350723925991636,0.15744870317434187
23,0.0112,1,4,1,887,675557,14,126242,5.350692244328982,0.15744843782544005
24,0.0117,0,6,0,893,675551,14,126242,5.3506447218350015,0.15744961604803234
25,0.0118,0,4,0,897,675547,14,126242,5.350613040172348,0.15745040153955717
26,0.012,0,5,0,902,675542,14,126242,5.350573438094031,0.15745138341498457
27,0.0123,0,1,0,903,675541,14,126242,5.350565517678368,0.15745157979153962
28,0.0125,0,17,0,920,675524,14,126242,5.350430870612089,0.15745491826792357
29,0.0127,0,1,0,921,675523,14,126242,5.350422950196426,0.15745511465329617
30,0.0133,2,21,2,942,675502,16,126240,5.350256621467494,0.15745713708399958
31,0.0138,0,1,0,943,675501,16,126240,5.350248701051831,0.15745733347801846
32,0.014,0,6,0,949,675495,16,126240,5.3502011785578505,0.15745851185242007
33,0.0143,0,3,0,952,675492,16,126240,5.35017741731086,0.1574591010462349
34,0.015,0,70,0,1022,675422,16,126240,5.3496229882144215,0.15747285015380547
35,0.0154,0,7,0,1029,675415,16,126240,5.349567545304778,0.1574742251966245
36,0.0158,0,1,0,1030,675414,16,126240,5.349559624889114,0.15747442163327321
37,0.016,0,3,0,1033,675411,16,126240,5.3495358636421235,0.15747501094615987
38,0.0167,0,34,0,1067,675377,16,126240,5.349266569509568,0.15748169013381702
39,0.0175,0,9,0,1076,675368,16,126240,5.349195285768597,0.15748345824891968
40,0.0183,0,10,0,1086,675358,16,126240,5.349116081611963,0.15748542286782152
41,0.0185,0,1,0,1087,675357,16,126240,5.349108161196299,0.15748561933240768
42,0.0186,0,1,0,1088,675356,16,126240,5.349100240780636,0.15748581579748402
43,0.019,0,1,0,1089,675355,16,126240,5.3490923203649725,0.15748601226305053
44,0.0192,0,2,0,1091,675353,16,126240,5.349076479533646,0.15748640519565416
45,0.0195,0,1,0,1092,675352,16,126240,5.349068559117982,0.15748660166269124
46,0.02,17,606,17,1698,674746,33,126223,5.344268787225953,0.157587871690415
47,0.0207,0,1,0,1699,674745,33,126223,5.3442608668102904,0.157588068437191
48,0.0208,0,3,0,1702,674742,33,126223,5.3442371055633,0.15758865868046668
49,0.021,0,2,0,1704,674740,33,126223,5.344221264731973,0.15758905217844021
50,0.0214,1,3,1,1707,674737,34,126222,5.344197503484983,0.15758859067692604
51,0.0217,0,15,0,1722,674722,34,126222,5.344078697250032,0.15759154198046305
52,0.022,0,11,0,1733,674711,34,126222,5.3439915726777345,0.157593706339981
53,0.0221,0,1,0,1734,674710,34,126222,5.343983652262071,0.15759390310288515
54,0.0222,0,1,0,1735,674709,34,126222,5.343975731846407,0.15759409986628062
55,0.0223,0,1,0,1736,674708,34,126222,5.343967811430744,0.15759429663016744
56,0.0225,2,31,2,1767,674677,36,126220,5.343722278545178,0.1575982929140701
57,0.0227,0,2,0,1769,674675,36,126220,5.343706437713851,0.15759868646951222
58,0.0229,0,5,0,1774,674670,36,126220,5.343666835635534,0.15759967036671702
59,0.0233,1,60,1,1834,674610,37,126219,5.34319161069573,0.15761042619585455
60,0.0235,0,5,0,1839,674605,37,126219,5.3431520086174125,0.15761141024744513
61,0.0237,0,1,0,1840,674604,37,126219,5.343144088201749,0.1576116070592378
62,0.0239,0,1,0,1841,674603,37,126219,5.343136167786086,0.15761180387152202
63,0.024,0,12,0,1853,674591,37,126219,5.343041122798124,0.15761416565727202
64,0.0242,0,9,0,1862,674582,37,126219,5.342969839057154,0.15761593704303567
65,0.0243,0,2,0,1864,674580,37,126219,5.342953998225827,0.15761633068972364
66,0.0245,1,0,1,1864,674580,38,126218,5.342953998225827,0.15761527875943745
67,0.025,1,95,1,1959,674485,39,126217,5.342201558737803,0.15763292710646407
68,0.0254,0,5,0,1964,674480,39,126217,5.342161956659486,0.15763391145464514
69,0.0255,0,1,0,1965,674479,39,126217,5.342154036243822,0.15763410832575658
70,0.0257,0,4,0,1969,674475,39,126217,5.342122354581169,0.1576348958151199
71,0.0258,0,1,0,1970,674474,39,126217,5.342114434165505,0.15763509268869014
72,0.0259,0,1,0,1971,674473,39,126217,5.342106513749842,0.15763528956275213
73,0.026,0,5,0,1976,674468,39,126217,5.342066911671525,0.1576362739404385
74,0.0261,0,1,0,1977,674467,39,126217,5.342058991255861,0.15763647081745108
75,0.0265,1,8,1,1985,674459,40,126216,5.341995627930554,0.15763699378649265
76,0.0267,0,41,0,2026,674418,40,126216,5.341670890888354,0.15764506628496916
77,0.0269,0,1,0,2027,674417,40,126216,5.34166297047269,0.15764526318550448
78,0.027,0,7,0,2034,674410,40,126216,5.341607527563046,0.15764664150302388
79,0.0271,0,3,0,2037,674407,40,126216,5.341583766316056,0.1576472322179103
80,0.0273,0,5,0,2042,674402,40,126216,5.341544164237739,0.15764821675255866
81,0.0275,0,16,0,2058,674386,40,126216,5.341417437587125,0.15765136734607207
82,0.0278,0,3,0,2061,674383,40,126216,5.341393676340134,0.15765195809637533
83,0.028,0,10,0,2071,674373,40,126216,5.3413144721835,0.1576539272960283
84,0.0283,0,15,0,2086,674358,40,126216,5.341195665948549,0.1576568811877478
85,0.0284,0,6,0,2092,674352,40,126216,5.341148143454569,0.15765806277542946
86,0.0286,0,1,0,2093,674351,40,126216,5.341140223038905,0.15765825970843164
87,0.0287,0,2,0,2095,674349,40,126216,5.341124382207578,0.15765865357591202
88,0.0288,0,1,0,2096,674348,40,126216,5.3411164617919145,0.15765885051039016
89,0.029,0,3,0,2099,674345,40,126216,5.341092700544925,0.15765944131677662
90,0.0292,0,1,0,2100,674344,40,126216,5.341084780129261,0.15765963825322274
91,0.0293,0,3,0,2103,674341,40,126216,5.341061018882271,0.15766022906551314
92,0.0295,0,2,0,2105,674339,40,126216,5.341045178050944,0.15766062294283342
93,0.0296,0,2,0,2107,674337,40,126216,5.341029337219617,0.15766101682212172
94,0.0298,0,3,0,2110,674334,40,126216,5.341005575972627,0.15766160764474424
95,0.03,19,858,19,2968,673476,59,126197,5.334209859333418,0.157810755146166
96,0.0303,0,1,0,2969,673475,59,126197,5.334201938917754,0.1578109524905211
97,0.0305,0,1,0,2970,673474,59,126197,5.334194018502091,0.15781114983536979
98,0.0307,0,6,0,2976,673468,59,126197,5.334146496008111,0.15781233391482682
99,0.0308,0,2,0,2978,673466,59,126197,5.334130655176784,0.15781272861192777
100,0.031,0,2,0,2980,673464,59,126197,5.334114814345456,0.15781312331100303
101,0.0312,0,2,0,2982,673462,59,126197,5.33409897351413,0.15781351801205265
102,0.0313,0,2,0,2984,673460,59,126197,5.334083132682803,0.15781391271507658
103,0.0314,0,5,0,2989,673455,59,126197,5.334043530604486,0.15781489948127436
104,0.0317,1,18,1,3007,673437,60,126196,5.333900963122544,0.15781739873166814
105,0.032,1,11,1,3018,673426,61,126195,5.333813838550247,0.15781851652220238
106,0.0325,1,33,1,3051,673393,62,126194,5.333552464833354,0.15782397662793418
107,0.0327,0,4,0,3055,673389,62,126194,5.333520783170701,0.15782476615936056
108,0.0328,0,1,0,3056,673388,62,126194,5.333512862755037,0.15782496354345146
109,0.0329,0,3,0,3059,673385,62,126194,5.3334891015080474,0.15782555569868642
110,0.0333,4,76,4,3135,673309,66,126190,5.332887149917628,0.15783634501106317
111,0.0334,0,3,0,3138,673306,66,126190,5.332863388670638,0.1578369372704804
112,0.0335,0,5,0,3143,673301,66,126190,5.3328237865923205,0.15783792437938637
113,0.0338,0,2,0,3145,673299,66,126190,5.332807945760994,0.15783831922640587
114,0.0339,0,1,0,3146,673298,66,126190,5.33280002534533,0.15783851665065643
115,0.034,0,16,0,3162,673282,66,126190,5.332673298694716,0.15784167550583386
116,0.0342,0,4,0,3166,673278,66,126190,5.332641617032062,0.1578424652393842
117,0.0343,0,6,0,3172,673272,66,126190,5.332594094538082,0.15784364985452717
118,0.0344,0,2,0,3174,673270,66,126190,5.332578253706754,0.15784404473019287
119,0.0346,0,1,0,3175,673269,66,126190,5.332570333291091,0.15784424216876664
120,0.0348,0,4,0,3179,673265,66,126190,5.332538651628438,0.15784503192800095
121,0.035,8,141,8,3320,673124,74,126182,5.331421873019896,0.15786444740812655
122,0.0353,0,5,0,3325,673119,74,126182,5.331382270941579,0.15786543492376465
123,0.0357,0,4,0,3329,673115,74,126182,5.331350589278926,0.15786622494517058
124,0.0358,0,2,0,3331,673113,74,126182,5.331334748447598,0.15786661995883872
125,0.036,1,17,1,3348,673096,75,126181,5.33120010138132,0.15786892404010125
126,0.0362,0,2,0,3350,673094,75,126181,5.3311842605499935,0.15786931907040755
127,0.0365,1,2,1,3352,673092,76,126180,5.331168419718667,0.15786866048103773
128,0.0367,2,64,2,3416,673028,78,126178,5.330661513116208,0.15787919510113788
129,0.0368,0,2,0,3418,673026,78,126178,5.330645672284882,0.1578795901922413
130,0.037,0,3,0,3421,673023,78,126178,5.330621911037891,0.15788018283260408
131,0.0371,0,2,0,3423,673021,78,126178,5.3306060702065645,0.15788057792865107
132,0.0373,0,1,0,3424,673020,78,126178,5.330598149790901,0.1578807754774161
133,0.0374,1,4,1,3428,673016,79,126177,5.330566468128247,0.15788051196644615
134,0.0375,1,27,1,3455,672989,80,126176,5.330352616905335,0.15788479225191293
135,0.0379,0,1,0,3456,672988,80,126176,5.3303446964896715,0.157884989814356
136,0.038,0,9,0,3465,672979,80,126176,5.330273412748701,0.15788676789859288
137,0.0383,0,37,0,3502,672942,80,126176,5.329980357369155,0.1578940782212389
138,0.0386,0,1,0,3503,672941,80,126176,5.329972436953491,0.1578942758069219
139,0.0387,0,2,0,3505,672939,80,126176,5.329956596122164,0.15789467097977136
140,0.0389,0,3,0,3508,672936,80,126176,5.329932834875175,0.15789526374275445
141,0.039,0,4,0,3512,672932,80,126176,5.3299011532125204,0.15789605410032187
142,0.0392,0,9,0,3521,672923,80,126176,5.32982986947155,0.15789783243377856
143,0.0393,0,3,0,3524,672920,80,126176,5.32980610822456,0.15789842522049916
144,0.0395,0,7,0,3531,672913,80,126176,5.329750665314916,0.15789980840682327
145,0.04,27,1040,27,4571,671873,107,126149,5.321513433024965,0.15807709561891778
146,0.0403,0,1,0,4572,671872,107,126149,5.321505512609302,0.1580772937053035
147,0.0407,0,2,0,4574,671870,107,126149,5.321489671777975,0.15807768987956428
148,0.0408,0,6,0,4580,671864,107,126149,5.321442149283994,0.1580788784142614
149,0.041,0,2,0,4582,671862,107,126149,5.321426308452668,0.15807927459646545
150,0.0412,0,2,0,4584,671860,107,126149,5.321410467621341,0.15807967078065535
151,0.0413,0,6,0,4590,671854,107,126149,5.32136294512736,0.1580808593451403
152,0.0414,0,2,0,4592,671852,107,126149,5.321347104296033,0.15808125553727376
153,0.0415,0,2,0,4594,671850,107,126149,5.321331263464707,0.15808165173139316
154,0.0416,0,1,0,4595,671849,107,126149,5.321323343049043,0.15808184982919757
155,0.0417,2,22,2,4617,671827,109,126147,5.321149093904448,0.1580840979781296
156,0.0418,1,1,1,4618,671826,110,126146,5.321141173488785,0.15808324101597548
157,0.042,0,20,0,4638,671806,110,126146,5.320982765175517,0.15808720324029515
158,0.0425,1,49,1,4687,671757,111,126145,5.320594664808009,0.15809585638336537
159,0.0429,0,4,0,4691,671753,111,126145,5.320562983145355,0.15809664894510325
160,0.043,0,7,0,4698,671746,111,126145,5.320507540235711,0.15809803594726599
161,0.0433,6,90,6,4788,671656,117,126139,5.319794702826004,0.15810953941802092
