,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.00011,0.00499,"5,262",26,0.0049,"5,262","671,182",26,"126,230",0.1583,0.9998,5.3160
1,0.00499,0.00928,"10,491",100,0.0094,"15,753","660,691",126,"126,130",0.1603,0.9990,5.2329
2,0.00928,0.01234,"9,773",100,0.0101,"25,526","650,918",226,"126,030",0.1622,0.9982,5.1555
3,0.01234,0.01423,"6,575",100,0.0150,"32,101","644,343",326,"125,930",0.1635,0.9974,5.1035
4,0.01423,0.01584,"5,894",100,0.0167,"37,995","638,449",426,"125,830",0.1646,0.9966,5.0568
5,0.01584,0.01705,"4,627",100,0.0212,"42,622","633,822",526,"125,730",0.1655,0.9958,5.0201
6,0.01706,0.01834,"5,012",100,0.0196,"47,634","628,810",626,"125,630",0.1665,0.9950,4.9804
7,0.01834,0.01971,"5,648",100,0.0174,"53,282","623,162",726,"125,530",0.1677,0.9942,4.9357
8,0.01971,0.02080,"4,438",100,0.0220,"57,720","618,724",826,"125,430",0.1686,0.9935,4.9006
9,0.02080,0.02180,"4,093",100,0.0238,"61,813","614,631",926,"125,330",0.1694,0.9927,4.8681
10,0.02180,0.02251,"3,094",100,0.0313,"64,907","611,537","1,026","125,230",0.1700,0.9919,4.8436
11,0.02251,0.02348,"4,038",100,0.0242,"68,945","607,499","1,126","125,130",0.1708,0.9911,4.8116
12,0.02348,0.02424,"3,324",100,0.0292,"72,269","604,175","1,226","125,030",0.1715,0.9903,4.7853
13,0.02424,0.02507,"3,607",100,0.0270,"75,876","600,568","1,326","124,930",0.1722,0.9895,4.7567
14,0.02507,0.02595,"3,732",100,0.0261,"79,608","596,836","1,426","124,830",0.1730,0.9887,4.7272
15,0.02595,0.02681,"3,652",100,0.0267,"83,260","593,184","1,526","124,730",0.1737,0.9879,4.6983
16,0.02681,0.02766,"3,627",100,0.0268,"86,887","589,557","1,626","124,630",0.1745,0.9871,4.6695
17,0.02766,0.02834,"2,819",100,0.0343,"89,706","586,738","1,726","124,530",0.1751,0.9863,4.6472
18,0.02834,0.02910,"3,300",100,0.0294,"93,006","583,438","1,826","124,430",0.1758,0.9855,4.6211
19,0.02910,0.02976,"2,696",100,0.0358,"95,702","580,742","1,926","124,330",0.1763,0.9847,4.5997
20,0.02976,0.03056,"3,306",100,0.0294,"99,008","577,436","2,026","124,230",0.1771,0.9840,4.5735
21,0.03056,0.03124,"3,048",100,0.0318,"102,056","574,388","2,126","124,130",0.1777,0.9832,4.5494
