,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec,TP_1,FP_1,Prec_1,Min_1,Max_1,TP_10,FP_10,Prec_10,Min_10,Max_10,TP_20,FP_20,Prec_20,Min_20,Max_20,TP_50,FP_50,Prec_50,Min_50,Max_50,TP_100,FP_100,Prec_100,Min_100,Max_100,TP_200,FP_200,Prec_200,Min_200,Max_200,TP_500,FP_500,Prec_500,Min_500,Max_500,TP_1000,FP_1000,Prec_1000,Min_1000,Max_1000,TP_2000,FP_2000,Prec_2000,Min_2000,Max_2000,mProb,Pos_1,Neg_1,mProb_1,p_Min_1,p_Max_1,Pos_10,Neg_10,mProb_10,p_Min_10,p_Max_10,Pos_20,Neg_20,mProb_20,p_Min_20,p_Max_20,Pos_50,Neg_50,mProb_50,p_Min_50,p_Max_50,Pos_100,Neg_100,mProb_100,p_Min_100,p_Max_100,Pos_200,Neg_200,mProb_200,p_Min_200,p_Max_200,Pos_500,Neg_500,mProb_500,p_Min_500,p_Max_500,Pos_1000,Neg_1000,mProb_1000,p_Min_1000,p_Max_1000,Pos_2000,Neg_2000,mProb_2000,p_Min_2000,p_Max_2000
0,0.0,1,122,1,122,676322,1,126255,5.356751362311494,0.1573120086920009,126255.0,676322.0,0.1573120086920009,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008130081300813009,1.0,122.0,0.008130081300813009,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.005,0,1,0,123,676321,1,126255,5.356743441895831,0.1573122047008632,126255.0,676321.0,0.1573122047008632,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.01,0,215,0,338,676106,1,126255,5.355040552528196,0.1573543579510968,126255.0,676106.0,0.1573543579510968,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,215.0,0.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.02,5,477,5,815,675629,6,126250,5.3512625142567485,0.15744270644324143,126250.0,675629.0,0.15744270644324143,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01037344398340249,5.0,477.0,0.01037344398340249,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.025,0,6,0,821,675623,6,126250,5.351214991762768,0.15744388450540173,126250.0,675623.0,0.15744388450540173,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,0.0,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0275,0,1,0,822,675622,6,126250,5.351207071347105,0.1574440808508091,126250.0,675622.0,0.1574440808508091,,0.0275,126249.5,675455.0,0.15747635194763157,,0.0275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0275,11.0,1716.0,0.006369426751592357,,0.0275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.03,5,886,5,1708,674736,11,126245,5.344189583069319,0.15761297708684727,126245.0,674736.0,0.15761297708684727,,0.03,126247.7,675167.5,0.1575309527445948,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005611672278338945,5.0,886.0,0.005611672278338945,,0.03,18.0,2875.0,0.006221914967162115,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0325,0,2,0,1710,674734,11,126245,5.3441737422379925,0.15761337063768213,126245.0,674734.0,0.15761337063768213,,0.0325,126245.9,674880.0,0.15758559297608526,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,0.0325,18.0,2875.0,0.006221914967162115,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.035,0,5,0,1715,674729,11,126245,5.344134140159675,0.1576143545233678,126245.0,674729.0,0.1576143545233678,,0.035,126244.1,674613.0,0.15763623747607408,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.0,,0.035,18.0,2670.0,0.006696428571428571,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0367,0,1,0,1716,674728,11,126245,5.3441262197440125,0.15761455130197896,126245.0,674728.0,0.15761455130197896,,0.0367,126242.8,674393.6,0.15767806709762383,,0.0367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0367,13.0,2194.0,0.0058903488898957865,,0.0367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.04,8,1281,8,2997,673447,19,126237,5.3339801672791785,0.15785860414863873,126237.0,673447.0,0.15785860414863873,,0.04,126241.5,674174.7,0.15771982126298795,,0.04,126240.55,674182.1,0.15771736344542475,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0062063615205585725,8.0,1281.0,0.0062063615205585725,,0.04,13.0,2189.0,0.005903723887375113,,0.04,37.0,4771.0,0.007695507487520799,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0425,0,1,0,2998,673446,19,126237,5.333972246863516,0.15785880155011422,126237.0,673446.0,0.15785880155011422,,0.0425,126240.2,673955.8,0.15776159840838994,,0.0425,126238.75,673949.6,0.15776129457520846,,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0425,13.0,2189.0,0.005903723887375113,,0.0425,36.0,4650.0,0.0076824583866837385,,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.045,0,10,0,3008,673436,19,126237,5.333893042706881,0.15786077559202324,126237.0,673436.0,0.15786077559202324,,0.045,126239.4,673825.4,0.157786469295987,,0.045,126236.9,673716.4,0.15780533688654075,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.0,0.0,,0.045,8.0,1304.0,0.006097560975609756,,0.045,37.0,4664.0,0.007870665815783875,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0457,0,1,0,3009,673435,19,126237,5.333885122291218,0.15786097299892957,126237.0,673435.0,0.15786097299892957,,0.0457,126236.8,673519.9,0.1578440043078101,,0.0457,126235.05,673493.65,0.15784734248001853,,0.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0457,26.0,3055.0,0.008438818565400843,,0.0457,37.0,4455.0,0.00823686553873553,,0.0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0467,0,1,0,3010,673434,19,126237,5.333877201875555,0.1578611704063296,126237.0,673434.0,0.1578611704063296,,0.0467,126234.2,673214.7,0.15790152441262975,,0.0467,126233.45,673294.65,0.1578849448818622,,0.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0467,26.0,3052.0,0.008447043534762833,,0.0467,32.0,3980.0,0.007976071784646061,,0.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0471,0,1,0,3011,673433,19,126237,5.333869281459891,0.15786136781422336,126237.0,673433.0,0.15786136781422336,,0.0471,126231.6,672909.2,0.15795914812508635,,0.0471,126231.85,673095.9,0.157922516764869,,0.0471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0471,26.0,3055.0,0.008438818565400843,,0.0471,32.0,3975.0,0.0079860244571999,,0.0471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0475,0,1,0,3012,673432,19,126237,5.333861361044228,0.15786156522261086,126237.0,673432.0,0.15786156522261086,,0.0475,126229.8,672731.7,0.15799234381131005,,0.0475,126229.25,672775.85,0.15798303415084586,,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0475,18.0,1775.0,0.010039040713887339,,0.0475,52.0,6401.0,0.008058267472493413,,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.05,18,1753,18,4765,671679,37,126219,5.319976872386263,0.15818939262913304,126219.0,671679.0,0.15818939262913304,,0.05,126227.9,672552.8,0.15802572595957812,,0.05,126226.9,672500.05,0.1580351082431862,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010163749294184076,18.0,1753.0,0.010163749294184076,,0.05,19.0,1789.0,0.010508849557522125,,0.05,47.0,5516.0,0.008448678770447601,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0525,0,2,0,4767,671677,37,126219,5.319961031554936,0.15818978914545254,126219.0,671677.0,0.15818978914545254,,0.0525,126226.0,672374.3,0.15805904405495463,,0.0525,126224.55,672224.3,0.15808720871725218,,0.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,0.0525,19.0,1785.0,0.010532150776053215,,0.0525,47.0,5515.0,0.00845019777058612,,0.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0533,0,4,0,4771,671673,37,126219,5.319929349892282,0.158190582184055,126219.0,671673.0,0.158190582184055,,0.0533,126224.1,672195.7,0.15809239700718847,,0.0533,126222.2,671948.7,0.1581393157781122,,0.0533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0,,0.0533,19.0,1786.0,0.010526315789473684,,0.0533,47.0,5512.0,0.008454758050008995,,0.0533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
