,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.00259,0.01508,"3,528",56,0.0156,"3,528","672,916",56,"126,200",0.1579,0.9996,5.3298
1,0.01508,0.01909,"4,116",100,0.0237,"7,644","668,800",156,"126,100",0.1586,0.9988,5.2972
2,0.01909,0.02156,"3,380",100,0.0287,"11,024","665,420",256,"126,000",0.1592,0.9980,5.2704
3,0.02156,0.02379,"3,738",100,0.0261,"14,762","661,682",356,"125,900",0.1599,0.9972,5.2408
4,0.02379,0.02547,"3,046",100,0.0318,"17,808","658,636",456,"125,800",0.1604,0.9964,5.2167
5,0.02548,0.02678,"2,689",100,0.0359,"20,497","655,947",556,"125,700",0.1608,0.9956,5.1954
6,0.02678,0.02794,"2,558",100,0.0376,"23,055","653,389",656,"125,600",0.1612,0.9948,5.1751
7,0.02794,0.02945,"3,339",100,0.0291,"26,394","650,050",756,"125,500",0.1618,0.9940,5.1487
8,0.02945,0.03068,"2,944",100,0.0329,"29,338","647,106",856,"125,400",0.1623,0.9932,5.1253
9,0.03068,0.03169,"2,444",100,0.0393,"31,782","644,662",956,"125,300",0.1627,0.9924,5.1060
10,0.03169,0.03276,"2,760",100,0.0350,"34,542","641,902","1,056","125,200",0.1632,0.9916,5.0841
11,0.03276,0.03363,"2,266",100,0.0423,"36,808","639,636","1,156","125,100",0.1636,0.9908,5.0662
12,0.03363,0.03451,"2,440",100,0.0394,"39,248","637,196","1,256","125,000",0.1640,0.9901,5.0469
13,0.03451,0.03541,"2,537",100,0.0379,"41,785","634,659","1,356","124,900",0.1644,0.9893,5.0268
14,0.03541,0.03623,"2,275",100,0.0421,"44,060","632,384","1,456","124,800",0.1648,0.9885,5.0087
15,0.03623,0.03711,"2,513",100,0.0383,"46,573","629,871","1,556","124,700",0.1653,0.9877,4.9888
16,0.03711,0.03777,"1,980",100,0.0481,"48,553","627,891","1,656","124,600",0.1656,0.9869,4.9732
17,0.03777,0.03851,"2,195",100,0.0436,"50,748","625,696","1,756","124,500",0.1660,0.9861,4.9558
18,0.03851,0.03919,"2,041",100,0.0467,"52,789","623,655","1,856","124,400",0.1663,0.9853,4.9396
19,0.03919,0.03986,"2,091",100,0.0456,"54,880","621,564","1,956","124,300",0.1667,0.9845,4.9230
20,0.03986,0.04057,"2,183",100,0.0438,"57,063","619,381","2,056","124,200",0.1670,0.9837,4.9058
21,0.04057,0.04127,"2,181",100,0.0438,"59,244","617,200","2,156","124,100",0.1674,0.9829,4.8885
22,0.04127,0.04182,"1,748",100,0.0541,"60,992","615,452","2,256","124,000",0.1677,0.9821,4.8746
23,0.04182,0.04237,"1,709",100,0.0553,"62,701","613,743","2,356","123,900",0.1680,0.9813,4.8611
24,0.04237,0.04307,"2,278",100,0.0421,"64,979","611,465","2,456","123,800",0.1684,0.9805,4.8431
25,0.04308,0.04365,"1,890",100,0.0503,"66,869","609,575","2,556","123,700",0.1687,0.9798,4.8281
26,0.04365,0.04425,"1,976",100,0.0482,"68,845","607,599","2,656","123,600",0.1690,0.9790,4.8124
27,0.04425,0.04489,"2,156",100,0.0443,"71,001","605,443","2,756","123,500",0.1694,0.9782,4.7954
28,0.04489,0.04543,"1,873",100,0.0507,"72,874","603,570","2,856","123,400",0.1697,0.9774,4.7805
29,0.04543,0.04607,"2,147",100,0.0445,"75,021","601,423","2,956","123,300",0.1701,0.9766,4.7635
30,0.04607,0.04663,"1,882",101,0.0509,"76,903","599,541","3,057","123,199",0.1705,0.9758,4.7486
31,0.04663,0.04733,"2,407",100,0.0399,"79,310","597,134","3,157","123,099",0.1709,0.9750,4.7295
32,0.04733,0.04790,"1,943",100,0.0489,"81,253","595,191","3,257","122,999",0.1713,0.9742,4.7142
33,0.04790,0.04835,"1,531",100,0.0613,"82,784","593,660","3,357","122,899",0.1715,0.9734,4.7020
34,0.04835,0.04883,"1,735",100,0.0545,"84,519","591,925","3,457","122,799",0.1718,0.9726,4.6883
35,0.04883,0.04925,"1,490",100,0.0629,"86,009","590,435","3,557","122,699",0.1721,0.9718,4.6765
36,0.04925,0.04975,"1,781",102,0.0542,"87,790","588,654","3,659","122,597",0.1724,0.9710,4.6624
37,0.04975,0.05019,"1,583",100,0.0594,"89,373","587,071","3,759","122,497",0.1726,0.9702,4.6498
38,0.05019,0.05067,"1,759",100,0.0538,"91,132","585,312","3,859","122,397",0.1729,0.9694,4.6359
