Index,Filename,Roll,Min/Max,y_proba_Min,y_proba_Max,y_proba_Diff,TP(Min),TP(Max),TP_Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
310,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_1,Min,0.2144,0.9808,0.7664,123993,383,123610,0.2144,0.0,1.0,1.0,111955,564489,2263,123993,4.4709875174249145
2928,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_1,Max,0.2144,0.9808,0.7664,123993,383,123610,0.9808,1.0,0.0,0.0,676410,34,125873,383,0.0002692941325560765
2235,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_10,Min,0.7417,0.9187,0.17699999999999994,36907,4471,32436,0.7417,28.0,29.0,0.5087719298245614,651132,25312,89349,36907,0.20048156127233557
2839,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_10,Max,0.7417,0.9187,0.17699999999999994,36907,4471,32436,0.9187,10.0,10.0,0.5,675462,982,121785,4471,0.007777848181472564
2296,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_20,Min,0.7573,0.8142,0.05690000000000006,34443,20920,13523,0.7573,57.0,57.0,0.5,653985,22459,91813,34443,0.1778846153846154
2524,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_20,Max,0.7573,0.8142,0.05690000000000006,34443,20920,13523,0.8142,99.0,89.0,0.4734042553191489,666596,9848,105336,20920,0.07800025345330124
2358,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_50,Min,0.7742,0.774,-0.00019999999999997797,29816,29816,0,0.7742,4447.0,4501.0,0.5030174340634779,658868,17576,96440,29816,0.13920922570016475
2357,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_50,Max,0.7742,0.774,-0.00019999999999997797,29816,29816,0,0.774,2420.0,2315.0,0.48891235480464623,658865,17579,96440,29816,0.139232986947155
2358,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_100,Min,0.7742,0.7772,0.0030000000000000027,29816,29745,71,0.7742,4694.0,4715.0,0.5011159528111383,658868,17576,96440,29816,0.13920922570016475
2371,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_100,Max,0.7742,0.7772,0.0030000000000000027,29816,29745,71,0.7772,4704.0,4703.0,0.4999468480918465,658959,17485,96511,29745,0.13848846787479407
2363,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_200,Min,0.7753,0.775,-0.00029999999999996696,29770,29770,0,0.7753,9336.0,9427.0,0.5024249853434952,658922,17522,96486,29770,0.1387815232543404
2362,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_200,Max,0.7753,0.775,-0.00029999999999996696,29770,29770,0,0.775,11838.0,11610.0,0.4951381780962129,658921,17523,96486,29770,0.13878944367000381
2361,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_500,Min,0.7748,0.7745,-0.000300000000000078,29813,29814,-1,0.7748,29233.0,29581.0,0.5029584792736423,658868,17576,96443,29813,0.13920922570016475
2360,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_500,Max,0.7748,0.7745,-0.000300000000000078,29813,29814,-1,0.7745,28137.0,27704.0,0.496122920434806,658868,17576,96442,29814,0.13920922570016475
2428,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_1000,Min,0.7903,0.79,-0.00029999999999996696,25287,25288,-1,0.7903,56004.0,56044.0,0.500178494930744,663040,13404,100969,25287,0.10616525155240147
2427,BRFC_alpha_0_5_0_0_1_1_Hard_Round_4,mProb_1000,Max,0.7903,0.79,-0.00029999999999996696,25287,25288,-1,0.79,55964.0,55772.0,0.499140831961051,663039,13405,100968,25288,0.10617317196806489
66,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_1,Min,0.0245,0.9942,0.9697,126218,204,126014,0.0245,0.0,1.0,1.0,1864,674580,38,126218,5.342953998225827
9134,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_1,Max,0.0245,0.9942,0.9697,126218,204,126014,0.9942,1.0,0.0,0.0,676375,69,126052,204,0.0005465086807755671
7954,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_10,Min,0.8398,0.984,0.1442,16144,487,15657,0.8398,954.0,964.0,0.502606882168926,661493,14951,110112,16144,0.11841813458370296
9119,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_10,Max,0.8398,0.984,0.1442,16144,487,15657,0.984,29.0,28.0,0.49122807017543857,676254,190,125769,487,0.001504878976048663
8142,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_20,Min,0.8594,0.963,0.10359999999999991,12851,1388,11463,0.8594,880.0,892.0,0.5033860045146726,665504,10940,113405,12851,0.08664934735774933
9040,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_20,Max,0.8594,0.963,0.10359999999999991,12851,1388,11463,0.963,35.0,35.0,0.5,675759,685,124868,1388,0.005425484729438601
8221,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_50,Min,0.8676,0.9557,0.08809999999999996,11430,1885,9545,0.8676,1249.0,1250.0,0.5002000800320128,667129,9315,114826,11430,0.07377867190470155
8996,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_50,Max,0.8676,0.9557,0.08809999999999996,11430,1885,9545,0.9557,146.0,138.0,0.4859154929577465,675467,977,124371,1885,0.0077382461031554935
8294,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_100,Min,0.875,0.8911,0.016100000000000003,10085,7719,2366,0.875,2206.0,2317.0,0.5122706168472253,668464,7980,116171,10085,0.06320491699404385
8452,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_100,Max,0.875,0.8911,0.016100000000000003,10085,7719,2366,0.8911,1239.0,1236.0,0.4993939393939394,670825,5619,118537,7719,0.044504815612723354
8343,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_200,Min,0.88,0.8879,0.007900000000000018,9017,8508,509,0.88,3517.0,3597.0,0.5056227157717177,669474,6970,117239,9017,0.05520529717399569
8421,BRFC_alpha_0_5_0_0_1_1_Medium_Round_4,mProb_200,Max,0.88,0.8879,0.007900000000000018,9017,8508,509,0.8879,2646.0,2645.0,0.49990549990549993,670113,6331,117748,8508,0.05014415156507414
